Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2119611.965329,1978581.243949,1514584.836795,30.885461
1,2125217.962287,2020004.187738,1738550.859438,30.885461
2,2148283.602316,2040183.593161,1903417.861334,30.885461
3,2170102.466589,2053712.649872,1930903.524474,30.885461
4,2171117.129596,2070670.947622,1912288.094299,30.885462
5,2174901.770892,2101114.723382,1997315.425989,30.885462
6,2174901.770892,2137391.842267,1976831.784631,30.885462
7,2178749.436286,2152227.477348,2051989.079182,30.885462
8,2178749.436286,2149710.640672,2078190.168311,30.885462
9,2187727.014391,2156182.348304,2085689.208547,30.885462
10,2187862.803235,2168996.286745,2114232.237915,30.885462
11,2205847.681992,2177099.218344,2141918.428973,30.885462
12,2205847.681992,2171484.732669,2099240.680807,30.885462
13,2214604.111426,2174331.714073,2108095.477700,30.885462
14,2214604.111426,2181153.561747,2126520.036869,30.885462
15,2214604.111426,2188007.463318,2106361.757775,30.885462
16,2220534.552664,2192826.106644,2128000.433147,30.885462
17,2220534.552664,2195478.342551,2130063.301859,30.885471
18,2220534.552664,2201193.956789,2174536.795597,30.885472
19,2220534.552664,2207864.532282,2176633.906774,30.885472
20,2235912.518941,2212228.586204,2159689.882515,30.885472
21,2235912.518941,2213936.268288,2178897.142797,30.885472
22,2235912.518941,2212739.544880,2175826.539743,30.885472
23,2235912.518941,2212390.457334,2137668.973143,30.885472
24,2236165.745353,2209190.717625,2139566.742033,30.885472
25,2236427.083691,2212642.645802,2141907.369304,30.885472
26,2236427.083691,2212441.303599,2171273.689777,30.885472
27,2238901.628736,2215445.170954,2131474.374004,30.885472
28,2238901.628736,2211303.671853,2114150.305529,30.885472
29,2241052.063702,2223367.493271,2128432.859038,30.885472
30,2241052.063702,2225386.004230,2187448.003622,30.885472
31,2241052.063702,2226257.598843,2167407.127866,30.885472
32,2241052.063702,2222886.625209,2160035.946128,30.885472
33,2241052.063702,2224373.512662,2183079.268706,30.885473
34,2241052.063702,2225362.269220,2184633.192618,30.885473
35,2242683.555595,2228062.837350,2159096.053085,30.885473
36,2242683.555595,2225117.946496,2174184.570963,30.885473
37,2242683.555595,2224966.602052,2190485.086314,30.885473
