Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2125766.856090,1798709.782586,1515754.262010,15.863149
1,2156319.211001,1934817.434950,1609139.563293,15.863149
2,2156319.211001,1992563.759931,1702153.743480,15.863150
3,2156319.211001,2023387.612430,1814211.064531,15.863150
4,2156319.211001,2053381.731974,1874730.399967,15.863150
5,2156319.211001,2079339.853131,1974079.897110,15.863150
6,2156319.211001,2096265.268309,2046898.593095,15.863150
7,2163465.562994,2096960.385239,2016695.642202,15.863150
8,2164699.368950,2096168.009456,1934430.398627,15.863150
9,2171213.625763,2121823.309755,2035516.835868,15.863151
10,2171548.371753,2125174.921531,2008310.346209,15.863151
11,2180395.600463,2140871.279687,2099183.484218,15.863151
12,2182631.575219,2145342.302368,2042642.041520,15.863152
13,2186239.081527,2149370.305847,2049295.768048,15.863152
14,2186239.081527,2153270.460064,2085650.908055,15.863152
15,2186239.081527,2166792.321978,2095493.482354,15.863152
16,2186766.328935,2172470.063161,2138444.784095,15.863152
17,2190167.133668,2175042.746281,2141586.080438,15.863152
18,2190167.133668,2178799.735671,2160465.483861,15.863152
19,2190167.133668,2177338.375084,2072911.475342,15.863152
20,2191126.833339,2167683.620861,1989481.029779,15.863152
21,2195958.873091,2173833.702387,2083417.320014,15.863152
22,2195958.873091,2179114.548303,2132297.977090,15.863152
23,2196918.572762,2181734.042136,2093357.210733,15.863152
24,2196918.572762,2178302.165646,2115371.094990,15.863152
25,2196918.572762,2176495.299033,2038208.134137,15.863152
26,2196918.572762,2170962.035440,1999478.086906,15.863152
27,2197339.766599,2176404.479350,2087886.343651,15.863153
28,2198791.808752,2180412.858812,2150916.545133,15.863153
29,2198978.638095,2183418.200729,2137737.363076,15.863153
30,2198978.638095,2185106.448988,2137498.064447,15.863153
31,2198978.638095,2182031.043299,2077125.643886,15.863153
