Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2890261.105555,2595375.961499,2221598.993420,26.678056
1,2890261.105555,2645591.777379,2346491.088271,26.678057
2,2891569.975710,2701213.290462,2502645.133270,26.678057
3,2893534.025174,2783145.804016,2600576.773864,26.678057
4,2899579.120348,2832047.582677,2608535.662937,26.678057
5,2899579.120348,2856166.231193,2689539.972495,26.678057
6,2899714.274013,2866096.405181,2798589.227268,26.678057
7,2899779.746765,2883833.238594,2814958.052989,26.678057
8,2900936.794181,2890336.048278,2860178.068549,26.678057
9,2900936.794181,2881314.545380,2785652.630174,26.678057
10,2907892.762692,2889288.810377,2852447.259003,26.678057
11,2908004.783242,2890107.072389,2788782.254764,26.678057
12,2911403.144904,2892507.111799,2837556.964215,26.678057
13,2911403.144904,2893772.147105,2792562.345192,26.678058
14,2913452.090007,2894734.412900,2833149.811729,26.678058
15,2920328.342456,2895065.356879,2832996.579088,26.678058
16,2920328.342456,2897808.615893,2878742.123944,26.678058
17,2920328.342456,2904389.971817,2867723.887199,26.678067
18,2924628.498542,2904907.313967,2861893.800835,26.678067
19,2928443.365386,2903023.079208,2819155.326331,26.678067
20,2928443.365386,2895723.197674,2772856.582098,26.678067
21,2928443.365386,2902324.371155,2846213.449999,26.678067
22,2929499.942016,2905911.376862,2812677.332205,26.678067
23,2929499.942016,2907785.711644,2882417.586095,26.678067
24,2929499.942016,2915000.639021,2858775.523597,26.678067
25,2929788.997464,2910557.035218,2806183.051725,26.678067
26,2933124.336461,2911734.807003,2848709.244331,26.678067
27,2933124.336461,2910684.479309,2824367.081560,26.678068
28,2934163.548698,2913619.965653,2850428.752542,26.678068
29,2934757.498793,2916247.356859,2890342.517644,26.678068
30,2934757.498793,2920221.316429,2889169.873754,26.678068
31,2935736.999845,2918657.668310,2884646.179724,26.678068
32,2935736.999845,2920212.160288,2890055.373876,26.678068
33,2936534.077983,2920065.227353,2875136.774805,26.678068
34,2939015.174647,2922657.559538,2899423.749319,26.678068
35,2939015.174647,2925356.743851,2847188.760251,26.678068
36,2939048.807013,2923222.145609,2840896.913042,26.678068
