Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2249388.846773,2010890.050039,1497776.837705,29.970842
1,2263330.200363,2110726.402532,1751815.824425,29.970842
2,2269898.238060,2142375.404627,1979778.087583,29.970843
3,2269898.238060,2171688.680683,2063776.537713,29.970843
4,2269898.238060,2222204.548480,2087314.473369,29.970843
5,2269898.238060,2236979.539912,2155860.810003,29.970843
6,2271015.924639,2247519.488175,2217167.413802,29.970843
7,2271016.727896,2250270.490304,2165087.867018,29.970843
8,2271016.727896,2258055.959230,2204618.673500,29.970843
9,2271064.249597,2251197.150163,2091342.266040,29.970843
10,2273956.223591,2262718.805033,2206664.731563,29.970843
11,2273956.223591,2258672.442476,2099749.895489,29.970843
12,2274167.736009,2265408.847267,2230244.264751,29.970843
13,2274167.736009,2258190.541093,2104201.681194,29.970843
14,2274167.736009,2262492.767947,2197694.415479,29.970843
15,2274167.736009,2262912.463557,2191908.101056,29.970843
16,2274167.736009,2262281.851517,2226849.872598,29.970843
17,2274167.736009,2265724.810971,2230010.909183,29.970850
18,2274406.498778,2264519.915004,2238707.198981,29.970850
19,2274406.498778,2266218.396559,2203371.723687,29.970850
20,2275243.636535,2252061.034349,1866060.750134,29.970850
