carbon_price,cache_hit_rate_max,cache_hit_rate_mean,cache_hit_rate_median,cache_hit_rate_min,cache_hit_rate_sd,carbon_emission_max,carbon_emission_mean,carbon_emission_median,carbon_emission_min,carbon_emission_sd,completion_rate,e_minus_max,e_minus_mean,e_minus_median,e_minus_min,e_minus_sd,e_plus_max,e_plus_mean,e_plus_median,e_plus_min,e_plus_sd,fitness_bp_solves_max,fitness_bp_solves_mean,fitness_bp_solves_median,fitness_bp_solves_min,fitness_bp_solves_sd,max_w_max,max_w_mean,max_w_median,max_w_min,max_w_sd,mean_all_candidate_w_max,mean_all_candidate_w_mean,mean_all_candidate_w_median,mean_all_candidate_w_min,mean_all_candidate_w_sd,n,net_carbon_trading_cost_max,net_carbon_trading_cost_mean,net_carbon_trading_cost_median,net_carbon_trading_cost_min,net_carbon_trading_cost_sd,num_dc_open_max,num_dc_open_mean,num_dc_open_median,num_dc_open_min,num_dc_open_sd,num_retailers_served_max,num_retailers_served_mean,num_retailers_served_median,num_retailers_served_min,num_retailers_served_sd,total_investment_cost_max,total_investment_cost_mean,total_investment_cost_median,total_investment_cost_min,total_investment_cost_sd,total_profit_max,total_profit_mean,total_profit_median,total_profit_min,total_profit_sd,wall_time_sec_max,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_min,wall_time_sec_sd
0,0.2,0.1806060606060606,0.18636363636363634,0.1393939393939394,0.018360513563639214,605936.502985166,455806.7311902513,443895.1097624195,347178.781820695,73236.04635642972,1.0,0.0,0.0,0.0,0.0,0.0,505936.502985166,355806.7311902513,343895.1097624195,247178.781820695,73236.0463564297,284.0,270.4,268.5,264.0,6.05896947600094,0.0312805474095797,0.0031280547409579702,0.0,0.0,0.009891777627115177,0.0031280547409579702,0.000312805474095797,0.0,0.0,0.0009891777627115176,10,0.0,0.0,0.0,0.0,0.0,10.0,8.7,9.0,6.0,1.2516655570345725,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3078703.79136428,2808563.521464818,2787821.1843044152,2445632.50639097,225084.56984954234,24.694363791,13.3639416023,11.6559089155,9.407587224,4.773858378867083
1,0.20833333333333334,0.17110980849216142,0.17414529914529914,0.13333333333333333,0.023124145638232292,433586.409917327,349966.545309936,335470.043765308,278743.119291647,45749.803256832856,1.0,0.0,0.0,0.0,0.0,0.0,333586.409917327,249966.545309936,235470.043765308,178743.119291647,45749.80325683286,964.0,514.4,458.5,295.0,185.2009119248007,0.977517106549365,0.6784946236559141,0.7370478983382209,0.267839687194526,0.2857314625406818,0.3265884652981428,0.22962854349951126,0.23123167155425223,0.12101661779081137,0.06522889691228076,10,333586.409917327,249966.545309936,235470.043765308,178743.119291647,45749.80325683286,10.0,8.3,9.0,6.0,1.2516655570345725,30.0,30.0,30.0,30.0,0.0,75610.4371778154,47198.92948976576,41202.766595615845,30112.3151771905,16453.224971455726,2856312.30332021,2502458.954917938,2516025.86557847,2024396.78861369,263143.46471584635,46.908265749,21.502792631200002,18.9177860675,11.415415847,10.932287301940704
2,0.21839080459770116,0.17602128196737543,0.18392210144927534,0.14210526315789473,0.027165095196433457,280477.380094308,238338.8618283818,241019.219172357,175760.547125795,31545.277483652484,1.0,0.0,0.0,0.0,0.0,0.0,180477.380094308,138338.86182838178,141019.219172357,75760.5471257948,31545.277483652528,778.0,533.3,528.0,362.0,142.8558325336732,0.974584555229717,0.8552297165200391,0.850928641251222,0.732160312805474,0.08328161462412995,0.5086021505376345,0.40671554252199416,0.4157380254154448,0.33548387096774196,0.051794429545973984,10,360954.760188615,276677.7236567638,282038.438344714,151521.09425159,63090.55496730484,9.0,7.5,7.5,5.0,1.35400640077266,30.0,29.9,30.0,29.0,0.31622776601683794,302681.758766957,196745.6765817433,203051.65568523802,111667.9176653,60193.01422418528,2732061.90909456,2306991.523806717,2335182.904340825,1775776.82330118,281049.5149001897,48.008517292,22.6725808864,18.0313882835,11.603514802,12.613349216897884
4,0.21666666666666667,0.17742705824121432,0.18304597701149425,0.12982456140350876,0.027736513039470057,95911.3396259828,49545.12418456852,46770.81671554615,5687.6810241203,27208.777457460554,1.0,94312.3189758797,50454.87581543148,53229.18328445385,4088.6603740172,27208.77745746055,0.0,0.0,0.0,0.0,0.0,776.0,546.0,545.0,283.0,151.3509534529304,1.0,0.9851417399804497,0.995601173020528,0.896383186705767,0.03145924843319006,0.6831867057673509,0.5690224828934506,0.5624633431085042,0.4075268817204301,0.08181020025408853,10,-16354.6414960688,-201819.50326172597,-212916.7331378155,-377249.275903519,108835.10982984223,9.0,5.5,5.5,2.0,2.1213203435596424,30.0,29.7,30.0,29.0,0.48304589153964794,828929.568457941,638932.163522426,613595.60499178,524932.207467359,97543.3741044087,2743140.5586019,2244689.86337574,2271721.724408075,1789349.71042455,285882.1335749215,54.976471003,38.1896044617,38.749705773,20.069251856,12.405159675614595
6,0.2063063063063063,0.1782471798082771,0.18000338066260987,0.14603174603174604,0.020077411013930447,11638.1558284141,6034.575806566524,6576.168475011285,388.855059835069,3320.619260736818,1.0,99611.1449401649,93965.42419343347,93423.8315249887,88361.8441715858,3320.619260736828,0.0,0.0,0.0,0.0,0.0,1223.0,842.6,848.5,434.0,253.57935422444962,1.0,0.9982404692082112,0.9995112414467255,0.991202346041056,0.0027571451028094744,0.7882697947214077,0.6212609970674488,0.6603128054740959,0.40703812316715543,0.11656424359210198,10,-530171.065029515,-563792.5451606009,-560542.989149932,-597666.86964099,19923.715564421083,4.0,3.6,4.0,2.0,0.699205898780101,30.0,29.6,30.0,29.0,0.5163977794943222,844166.29144128,731360.0634083205,780304.427808831,568544.057646082,112681.82076446648,2924317.76653345,2414356.087336029,2459548.198780615,1961046.77257521,292864.1500756573,144.749183609,103.3905394736,107.782403559,43.446757304,31.493648732985466
10,0.23333333333333334,0.19483295496106556,0.1943265306122449,0.16666666666666666,0.020859608437466422,8692.83030730978,2585.0468179404206,1733.7772462687349,112.700815105754,2805.51098063662,1.0,99887.2991848942,97414.95318205957,98266.22275373124,91307.1696926902,2805.510980636629,0.0,0.0,0.0,0.0,0.0,1216.0,902.5,962.5,506.0,248.73781377185094,1.0,0.9990224828934506,1.0,0.992179863147605,0.0024383560682789125,0.793841642228739,0.6448582600195504,0.6476050830889541,0.5102639296187682,0.10064715219271012,10,-913071.696926902,-974149.5318205958,-982662.2275373125,-998872.991848942,28055.109806366272,4.0,3.2,3.5,2.0,0.9189365834726815,30.0,29.5,30.0,28.0,0.7071067811865476,855105.481113102,725321.4684860185,772434.4531286785,531135.851486431,123831.41457819079,3296659.44879678,2801764.617725811,2825111.20621862,2361004.28171532,286300.9494411585,274.857467813,143.73219541470002,135.480020584,46.154977938,68.96039497643245
20,0.21944444444444444,0.19222978225478227,0.1916931216931217,0.1564102564102564,0.01881035479436851,5051.45598511831,896.7212091909278,350.9424017795915,0.0,1508.8655833754315,1.0,100000.0,99103.27879080907,99649.0575982204,94948.5440148817,1508.8655833754256,0.0,0.0,0.0,0.0,0.0,1242.0,938.8,849.5,658.0,220.70483053667454,1.0,0.9994134897360705,1.0,0.996089931573803,0.0012364722033892386,0.9181818181818183,0.6777908113391984,0.6557673509286412,0.5718475073313781,0.10090174661147464,10,-1898970.88029763,-1982065.57581618,-1992981.151964405,-2000000.0,30177.311667509035,4.0,3.0,3.0,2.0,0.816496580927726,30.0,29.5,30.0,28.0,0.7071067811865476,848945.27407351,711685.2370394183,722016.0888096951,568544.057646082,105015.2377936797,4323367.05075946,3777177.670556242,3791389.91958882,3275806.69951057,302406.3052609219,266.888262476,176.4104691464,179.123410624,81.108380272,60.13774051705705
