carbon_cap,n,mean_profit,sd_profit,mean_emission,mean_investment_cost
0,10,2106991.523806717,281049.5149001897,238338.8618283818,196745.6765817433
40000,10,2186991.523806717,281049.5149001897,238338.8618283818,196745.6765817433
100000,10,2306991.523806717,281049.5149001897,238338.8618283818,196745.6765817433
200000,10,2506991.523806717,281049.5149001897,238338.8618283818,196745.6765817433
350000,10,2806991.5238067172,281049.51490018965,238338.8618283818,196745.6765817433
