random_seed,carbon_price,carbon_cap,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,net_carbon_trading_cost,e_plus,e_minus,num_dc_open,open_dc_set,num_retailers_served,retailer_service_set,w_vector_candidate_dc,w_vector_length,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,algorithm_commit,formal_tag,base_instance_fingerprint,run_config_fingerprint
202,1,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2505349.89813618,331598.397878165,42147.6025104383,231598.397878165,231598.397878165,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.0547409579667644;0.0948191593352884;0.250244379276637;0;0.0166177908113392;0.115347018572825;0.280547409579668;0.111436950146628;0.0312805474095797;0.255131964809384,10,9,0.13446290865645708,0.12101661779081137,NA_NOT_AVAILABLE,0.280547409579668,0.0166177908113392,15,450,363,87,0.19333333333333333,7599,5,12.883662054,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,1c928e1966e11fae4e5f970993580a005f913d81152528771136bc5189d7b7ed
202,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2327946.4924759,254617.873913696,111669.137440366,309235.747827392,154617.873913696,0,7,NA_NOT_AVAILABLE,29,NA_NOT_AVAILABLE,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,10,10,0.3717497556207234,0.3717497556207234,NA_NOT_AVAILABLE,0.794721407624633,0.171065493646139,17,510,409,101,0.1980392156862745,9070,0,14.567097692,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,3dcad348f1e1581e77ca1631cb2e642a8cae80702c37a4a83c1c8d47edeb9406
202,4,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2261574.12363241,44089.8878381083,613923.769691373,-223640.448647567,0,55910.1121618917,4,NA_NOT_AVAILABLE,29,NA_NOT_AVAILABLE,0.597262952101662;0.786901270772238;0.565982404692082;0.15347018572825;0.348973607038123;0.459433040078201;0.947214076246334;0.327468230694037;0.0449657869012708;0.997067448680352,10,10,0.522873900293255,0.522873900293255,NA_NOT_AVAILABLE,0.997067448680352,0.0449657869012708,16,480,388,92,0.19166666666666668,14704,1,27.347098934,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,3a91645ddc19b861c0c057b4e03d6365828b57d1a4d4b9dfe6688328ea9e62a4
202,10,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2819997.06491897,2348.14383407381,808475.148983076,-976518.561659262,0,97651.8561659262,4,NA_NOT_AVAILABLE,29,NA_NOT_AVAILABLE,0.38514173998045;0.990224828934506;0.971652003910068;0.248289345063539;0.263929618768328;0.637341153470186;0.999022482893451;0.263929618768328;0.0205278592375367;0.999022482893451,10,10,0.5779081133919843,0.5779081133919843,NA_NOT_AVAILABLE,0.999022482893451,0.0205278592375367,44,1320,1041,279,0.21136363636363636,58197,9,144.296786422,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,219611889ee6ae8f189f6e7bc0db4718b59f75a1bd3972ec42aec937b2683ec3,522184697d5a8e232d6ff85baa2e5553b2c55754a3e4a03ea92cb7898da2a608
303,0,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2785202.18377406,462462.47709023,0,0,362462.47709023,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0;0;0;0;0;0;0;0;0;0,10,0,0,0.0,NA_NOT_AVAILABLE,0.0,0,11,330,276,54,0.16363636363636364,5342,89,9.465470272,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,8be4c3af94009fe307fec75e3ca2ebfbc96cdd5b03d61c5193ed0e05d1c467e2
303,1,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2458670.22531821,382169.305413607,40257.9306807934,282169.305413607,282169.305413607,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.187683284457478;0.0293255131964809;0.152492668621701;0.13880742913001;0.26197458455523;0.102639296187683;0.304985337243402;0.855327468230694;0.00195503421309873;0.1544477028348,10,10,0.21896383186705776,0.21896383186705776,NA_NOT_AVAILABLE,0.855327468230694,0.00195503421309873,17,510,442,68,0.13333333333333333,6345,8,11.415415847,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,d92d31b23953f6eea4a18e6a232578ca54823b62f4218c31ab23e0b07478088f
303,2,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2234567.0441681,242932.118183644,245429.754102366,285864.236367288,142932.118183644,0,9,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.341153470185728;0.560117302052786;0.274682306940371;0.438905180840665;0.545454545454545;0.349951124144673;0.21505376344086;0.915933528836755;0.173020527859238;0.619745845552297,10,10,0.44340175953079175,0.44340175953079175,NA_NOT_AVAILABLE,0.915933528836755,0.173020527859238,19,570,489,81,0.14210526315789473,6858,11,11.603514802,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,abe81ef71c4313e2656ffbd8ae3b00d49758c075ef199d395090bd1eed3f199c
303,4,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2090524.59295907,73925.5123213251,683406.721793127,-104297.9507147,0,26074.4876786749,7,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.633431085043988;0.558162267839687;0.608993157380254;0.166177908113392;0.996089931573803;0.834799608993157;0.75366568914956;0.171065493646139;0.652981427174976;0.898338220918866,10,10,0.6273704789833822,0.6273704789833822,NA_NOT_AVAILABLE,0.996089931573803,0.166177908113392,25,750,633,117,0.156,11220,46,24.880132445,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,cf422aaad24a0a58cf3c30214aceaf0dc2a04e9d34c853da7d2fdb7e5d447c7d
303,6,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2237659.88464432,2517.47330018918,818467.043593856,-584895.160198865,0,97482.5266998108,4,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.312805474095797;0.733137829912023;0.286412512218964;0.205278592375367;0.999022482893451;0.999022482893451;0.995112414467253;0.898338220918866;0.426197458455523;0.98435972629521,10,10,0.6839687194525905,0.6839687194525905,NA_NOT_AVAILABLE,0.999022482893451,0.205278592375367,49,1470,1223,247,0.16802721088435374,46663,678,144.749183609,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,bf576f3194731adf431fc22f2c0c7f3c1708e23c689d4148cb6fa4e43d89cb68
303,10,100000,3000,0.5,GA-BP,HEURISTIC_BEST_FOUND,OPTIMAL,True,1,normal_or_early_stop,2641717.38296821,401.003299520842,825504.683940228,-995989.967004792,0,99598.9967004792,4,NA_NOT_AVAILABLE,30,NA_NOT_AVAILABLE,0.570869990224829;0.38514173998045;0.509286412512219;0.92375366568915;0.999022482893451;0.996089931573803;1;0.796676441837732;0.519061583577713;1,10,10,0.7699902248289348,0.7699902248289348,NA_NOT_AVAILABLE,1.0,0.38514173998045,42,1260,1038,222,0.1761904761904762,58686,362,195.096016074,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,82a66edde24d097a9076a0cca1c80f13af3c68cc8cd3d3c473d8e12b9e153941,f6f0f3a08cf9c3f10fa61f5a9337a5129e8d05c11383ae1ebc97196cb24ad3f1
