component,value
revenue,277769320
facility_fixed_cost,16748516.989247311
inventory_cost,4144519.6386451088
supplier_dc_transport_cost,56481854.858232901
dc_market_transport_cost,24539419.174359847
total_transport_cost,81021274.032592744
investment_cost,51.990712000522365
carbon_trading_cost,1398.2267870981268
reported_total_profit,175883843.03457496
recomputed_total_profit,175883843.0345749
objective_decomposition_error,5.9604644775390625e-08
