random_seed,rq3_total_profit,rq2_total_profit,profit_difference,rq3_carbon_emission,rq2_carbon_emission,emission_difference,rq3_total_investment_cost,rq2_total_investment_cost,investment_difference,rq3_net_carbon_trading_cost,rq2_net_carbon_trading_cost,net_cost_difference,rq3_num_dc_open,rq2_num_dc_open,num_dc_open_match,rq3_open_dc_set,rq2_open_dc_set,open_dc_set_match,rq3_best_w,rq2_best_w,best_w_match,base_instance_fingerprint_match,comparison_status
101,2371052.3565378,2371052.3565378,0.0,216235.824199795,216235.824199795,,160541.959378031,160541.959378031,,232471.648399591,232471.648399591,,7,7,NA_NOT_AVAILABLE,,,NA_NOT_AVAILABLE,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,0.167155425219941;0.733137829912023;0.333333333333333;0.304007820136852;0.297165200391007;0.168132942326491;0.229716520039101;0.586510263929619;0.860215053763441;0.580645161290323,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,PARTIAL_NA_DOCUMENTED
505,1943512.15225311,1943512.15225311,0.0,246715.987314229,246715.987314229,,191098.538818986,191098.538818986,,293431.974628459,293431.974628459,,9,9,NA_NOT_AVAILABLE,,,NA_NOT_AVAILABLE,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,PARTIAL_NA_DOCUMENTED
909,2342419.31620575,2342419.31620575,0.0,280010.466657766,280010.466657766,,239507.554572176,239507.554572176,,360020.933315533,360020.933315533,,9,9,NA_NOT_AVAILABLE,,,NA_NOT_AVAILABLE,0.732160312805474;0.359726295210166;0.00782013685239492;0.358748778103617;0.324535679374389;0.349951124144673;0.313782991202346;0.220918866080156;0.263929618768328;0.423264907135875,0.732160312805474;0.359726295210166;0.00782013685239492;0.358748778103617;0.324535679374389;0.349951124144673;0.313782991202346;0.220918866080156;0.263929618768328;0.423264907135875,NA_NOT_AVAILABLE,NA_NOT_AVAILABLE,PARTIAL_NA_DOCUMENTED
