Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.74587e+08,1.7365e+08,1.73076e+08,0.0807891
1,1.74587e+08,1.73791e+08,1.73231e+08,0.141969
2,1.74587e+08,1.73984e+08,1.73514e+08,0.202011
3,1.74587e+08,1.74231e+08,1.73316e+08,0.273524
4,1.74587e+08,1.74387e+08,1.7394e+08,0.329561
5,1.74587e+08,1.74431e+08,1.74177e+08,0.3744
6,1.74587e+08,1.74532e+08,1.74303e+08,0.430519
7,1.74587e+08,1.74532e+08,1.7418e+08,0.488636
8,1.74587e+08,1.74534e+08,1.74361e+08,0.552148
9,1.74587e+08,1.74547e+08,1.74392e+08,0.627034
10,1.74587e+08,1.74554e+08,1.74442e+08,0.695156
