component,value
revenue,2.72126e+08
facility_fixed_cost,1.67485e+07
inventory_cost,3.9791e+06
supplier_dc_transport_cost,4.73993e+07
dc_market_transport_cost,2.94409e+07
total_transport_cost,7.68402e+07
investment_cost,103.602
carbon_trading_cost,-145.518
reported_total_profit,1.74587e+08
recomputed_total_profit,1.74558e+08
objective_decomposition_error,28885.7
