size_id,fixed_w,pairs,cplex_certified,bp_certified,objective_matches,max_abs_diff,max_rel_diff_pct,mean_cplex_sec,sd_cplex_sec,mean_bp_sec,sd_bp_sec,equivalent_multiple_optima,anomalies
3x5,0.0,10,10,10,10,2.9103830456733704e-11,1.2151205399587419e-14,0.012169815,0.008451233213219096,0.0017966763,0.0005253232130827332,0,0
3x5,0.4,10,10,10,10,0.0,0.0,0.0092630276,0.006092125493704315,0.0022781098,0.0005938330895605824,0,0
3x5,0.8,10,10,10,10,0.0,0.0,0.0092438458,0.009499966595601865,0.0019248653,0.0005335873793993194,0,0
3x10,0.0,10,10,10,10,0.0,0.0,0.0490430929,0.02324199174193431,0.0029552724,0.0038752507555014407,0,0
3x10,0.4,10,10,10,10,0.0,0.0,0.0466144984,0.01685208705726982,0.0034200462,0.001844015068292484,0,0
3x10,0.8,10,10,10,10,1.1641532182693481e-10,2.1433300957482646e-14,0.0542393601,0.017626355792690736,0.0061420081,0.0022244328823341044,0,0
5x10,0.0,10,10,10,10,1.1641532182693481e-10,2.741505224008836e-14,0.0616018842,0.02329462556442328,0.0029410512,0.0011946356676084044,0,0
5x10,0.4,10,10,10,10,1.1641532182693481e-10,1.772038325845705e-14,0.0726616117,0.022236907392006212,0.0042213512,0.001689605899250723,0,0
5x10,0.8,10,10,10,10,5.820766091346741e-11,1.2258741216610581e-14,0.0928441611,0.024710814515978403,0.0083015088,0.003067932795946982,0,0
