num_dc,num_retailers,random_seed,fixed_w,complete_column_count,cplex_status,cplex_objective,cplex_gap,cplex_wall_time_sec,bp_status,bp_objective,bp_gap,bp_wall_time_sec,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
3,10,707,0.8,6108,OPTIMAL,565125.20379640255,0,0.064754147999999997,OPTIMAL_CERTIFIED,565125.20379640255,0,0.0066957370000000002,0,0,true,true,8,0,1,0,0,true,3x10
3,10,808,0.8,6108,OPTIMAL,481954.82011925394,0,0.052534286999999999,OPTIMAL_CERTIFIED,481954.82011925394,0,0.007299832,0,0,true,true,11,0,1,0,0,true,3x10
3,10,909,0.8,6108,OPTIMAL,285243.84242270736,0,0.055133434000000002,OPTIMAL_CERTIFIED,285243.84242270736,0,0.0052605509999999996,0,0,true,true,6,0,1,0,0,true,3x10
3,10,1010,0.8,6108,OPTIMAL,349860.56791102211,0,0.058551789999999999,OPTIMAL_CERTIFIED,349860.56791102211,0,0.0082439809999999992,0,0,true,true,10,0,1,0,0,true,3x10
3,5,101,0.0,171,OPTIMAL,277582.88564722892,0,0.023694699999999999,OPTIMAL_CERTIFIED,277582.88564722892,0,0.001863132,0,0,true,true,3,0,1,0,0,true,3x5
3,5,202,0.0,171,OPTIMAL,239513.93709238007,0,0.0096486799999999998,OPTIMAL_CERTIFIED,239513.93709238005,0,0.0026493969999999999,2.9103830456733704e-11,1.2151205399587419e-16,true,true,4,0,1,0,0,true,3x5
3,5,303,0.0,171,OPTIMAL,69710.71052654607,0,0.0049612830000000004,OPTIMAL_CERTIFIED,69710.71052654607,0,0.001476396,0,0,true,true,2,0,1,0,0,true,3x5
3,5,404,0.0,171,OPTIMAL,180207.32612299279,0,0.0065583129999999996,OPTIMAL_CERTIFIED,180207.32612299279,0,0.001728533,0,0,true,true,3,0,1,0,0,true,3x5
3,5,505,0.0,171,OPTIMAL,17616.336862424327,0,0.022515503999999999,OPTIMAL_CERTIFIED,17616.336862424327,0,0.00097992799999999992,0,0,true,true,1,0,1,0,0,true,3x5
3,5,606,0.0,171,OPTIMAL,230604.338664179,0,0.0092063600000000002,OPTIMAL_CERTIFIED,230604.338664179,0,0.001785189,0,0,true,true,4,0,1,0,0,true,3x5
3,5,707,0.0,171,OPTIMAL,271282.11026882706,0,0.0060972409999999998,OPTIMAL_CERTIFIED,271282.11026882706,0,0.0015239209999999999,0,0,true,true,3,0,1,0,0,true,3x5
3,5,808,0.0,171,OPTIMAL,251329.0403231566,0,0.026190127000000001,OPTIMAL_CERTIFIED,251329.0403231566,0,0.0025963200000000001,0,0,true,true,4,0,1,0,0,true,3x5
3,5,909,0.0,171,OPTIMAL,132040.94551579986,0,0.0048904819999999998,OPTIMAL_CERTIFIED,132040.94551579986,0,0.0013373289999999999,0,0,true,true,2,0,1,0,0,true,3x5
3,5,1010,0.0,171,OPTIMAL,133385.83658272415,0,0.0079354600000000001,OPTIMAL_CERTIFIED,133385.83658272415,0,0.002026618,0,0,true,true,3,0,1,0,0,true,3x5
3,5,101,0.4,171,OPTIMAL,280693.0990360002,0,0.026340803999999999,OPTIMAL_CERTIFIED,280693.0990360002,0,0.0026095760000000002,0,0,true,true,4,0,1,0,0,true,3x5
3,5,202,0.4,171,OPTIMAL,272697.14128961076,0,0.0093427049999999998,OPTIMAL_CERTIFIED,272697.14128961076,0,0.003015177,0,0,true,true,4,0,1,0,0,true,3x5
