dc_id,market_id,distance_0_km,distance_10_km,transport_cost_coeff_0,transport_cost_coeff_10,transport_emission_coeff_0,transport_emission_coeff_10,changed
C06,M14,415.32,415.32,4.1532,4.1532,4.1532,4.1532,false
C06,M15,235.049,235.049,2.35049,2.35049,2.35049,2.35049,false
C07,C01,463.365,463.365,4.63365,4.63365,4.63365,4.63365,false
C07,C02,171.093,171.093,1.71093,1.71093,1.71093,1.71093,false
C07,C03,374.416,374.416,3.74416,3.74416,3.74416,3.74416,false
C07,C04,345.917,345.917,3.45917,3.45917,3.45917,3.45917,false
C07,C05,409.138,409.138,4.09138,4.09138,4.09138,4.09138,false
C07,C06,554.816,554.816,5.54816,5.54816,5.54816,5.54816,false
C07,C07,0,10,0,0.1,0,0.1,true
C07,C08,426.072,426.072,4.26072,4.26072,4.26072,4.26072,false
C07,M09,298.235,298.235,2.98235,2.98235,2.98235,2.98235,false
C07,M10,403.733,403.733,4.03733,4.03733,4.03733,4.03733,false
C07,M11,301.243,301.243,3.01243,3.01243,3.01243,3.01243,false
C07,M12,468.512,468.512,4.68512,4.68512,4.68512,4.68512,false
C07,M13,349.161,349.161,3.49161,3.49161,3.49161,3.49161,false
C07,M14,149.56,149.56,1.4956,1.4956,1.4956,1.4956,false
C07,M15,484.527,484.527,4.84527,4.84527,4.84527,4.84527,false
C08,C01,97.311,97.311,0.97311,0.97311,0.97311,0.97311,false
C08,C02,283.339,283.339,2.83339,2.83339,2.83339,2.83339,false
C08,C03,72.6,72.6,0.726,0.726,0.726,0.726,false
C08,C04,120.29,120.29,1.2029,1.2029,1.2029,1.2029,false
C08,C05,84.99,84.99,0.8499,0.8499,0.8499,0.8499,false
C08,C06,148.033,148.033,1.48033,1.48033,1.48033,1.48033,false
C08,C07,423.098,423.098,4.23098,4.23098,4.23098,4.23098,false
C08,C08,0,10,0,0.1,0,0.1,true
C08,M09,161.086,161.086,1.61086,1.61086,1.61086,1.61086,false
C08,M10,164.042,164.042,1.64042,1.64042,1.64042,1.64042,false
C08,M11,227.387,227.387,2.27387,2.27387,2.27387,2.27387,false
C08,M12,97.125,97.125,0.97125,0.97125,0.97125,0.97125,false
C08,M13,81.637,81.637,0.81637,0.81637,0.81637,0.81637,false
C08,M14,283.657,283.657,2.83657,2.83657,2.83657,2.83657,false
C08,M15,237.75,237.75,2.3775,2.3775,2.3775,2.3775,false
