Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1507443.101025,1444737.986681,1361897.051169,6.187479
1,1507443.101025,1458888.230369,1397591.431763,6.187479
2,1509985.166618,1464368.504554,1396431.138372,6.187479
3,1509985.166618,1472467.971488,1384315.670578,6.187479
4,1509985.166618,1481231.675741,1404678.155852,6.187479
5,1510572.052028,1487051.803440,1422657.471039,6.187479
6,1510572.052028,1488304.912726,1439645.285132,6.187479
7,1510695.633904,1490529.637239,1443026.419553,6.187480
8,1512318.955585,1487764.660952,1447121.572459,6.187480
9,1512318.955585,1485572.688786,1410360.551317,6.187480
10,1512318.955585,1480179.842742,1389031.470803,6.187480
11,1512318.955585,1477442.134636,1416609.309583,6.187480
12,1512318.955585,1483541.590594,1420086.929029,6.187480
13,1512318.955585,1486126.646035,1401541.975022,6.187480
14,1512318.955585,1492616.144203,1443096.106563,6.187480
15,1512318.955585,1484800.795664,1416477.527829,6.187480
16,1512318.955585,1486872.178542,1389208.234764,6.187480
17,1512318.955585,1484304.173203,1420170.160054,6.187482
18,1512318.955585,1484785.312560,1410107.680310,6.187482
