num_dc,num_retailers,random_seed,fixed_w,complete_column_count,column_enumeration_time_sec,full_master_build_time_sec,cplex_optimization_time_sec,reference_validation_time_sec,reference_total_wall_time_sec,reference_peak_rss_kb,bp_initialization_time_sec,bp_solve_time_sec,bp_validation_time_sec,bp_total_wall_time_sec,bp_peak_rss_kb,bp_initial_columns,bp_generated_columns,bp_final_master_columns,cplex_status,cplex_objective,cplex_gap,bp_status,bp_objective,bp_gap,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
5,14,101,0.0,163760,0.30324763399999999,0.31039881600000002,2.690329583,1.9290000000000001e-06,3.3185991720000003,301968,0.0026936030000000001,0.019590791999999999,6.9599999999999999e-07,0.022285091,301968,UNKNOWN,142,UNKNOWN,OPTIMAL,582553.36744703585,0,OPTIMAL_CERTIFIED,582553.36744703585,0,0,0,true,true,28,2,5,1,0,true,5x14
5,14,202,0.0,163760,0.27652727700000002,0.30503082999999998,0.65074986499999998,1.649e-06,1.2472408960000001,275124,0.0028668949999999999,0.0044439529999999996,9.7000000000000003e-07,0.0073118180000000003,275124,UNKNOWN,41,UNKNOWN,OPTIMAL,603706.40526723419,0,OPTIMAL_CERTIFIED,603706.40526723419,0,0,0,true,true,6,0,1,0,0,true,5x14
5,14,303,0.0,163760,0.29732491999999999,0.30356804500000001,1.228331203,1.9309999999999998e-06,1.8439240589999999,273068,0.003071631,0.0070736699999999998,6.75e-07,0.010145975999999999,273068,UNKNOWN,59,UNKNOWN,OPTIMAL,757339.21720864461,0,OPTIMAL_CERTIFIED,757339.21720864461,0,0,0,true,true,10,0,1,0,0,true,5x14
5,14,404,0.0,163760,0.27144162199999999,0.31069513799999998,0.59214904300000004,2.1050000000000002e-06,1.1860253330000001,258924,0.002870881,0.002006037,6.3399999999999999e-07,0.0048775520000000003,258924,UNKNOWN,11,UNKNOWN,OPTIMAL,450698.3384734795,0,OPTIMAL_CERTIFIED,450698.3384734795,0,0,0,true,true,4,0,1,0,0,true,5x14
5,14,505,0.0,163760,0.26339263899999998,0.32660280400000002,0.29452147200000001,1.5710000000000001e-06,0.89704170699999997,258908,0.0030936010000000001,0.0022603200000000001,6.4600000000000004e-07,0.0053545670000000002,258908,UNKNOWN,25,UNKNOWN,OPTIMAL,492427.46566799295,0,OPTIMAL_CERTIFIED,492427.46566799295,0,0,0,true,true,4,0,1,0,0,true,5x14
5,14,606,0.0,163760,0.29274914200000002,0.28358629800000001,0.68696275600000001,1.722e-06,1.275474902,276160,0.0030127130000000002,0.0067975329999999997,7.1699999999999997e-07,0.0098109630000000007,276160,UNKNOWN,58,UNKNOWN,OPTIMAL,886516.97792704217,0,OPTIMAL_CERTIFIED,886516.97792704217,0,0,0,true,true,8,0,1,0,0,true,5x14
5,14,707,0.0,163760,0.28199459599999999,0.29616968700000001,2.0694204620000001,1.5430000000000001e-06,2.6627971140000004,316588,0.0033112770000000001,0.0095266499999999994,6.2799999999999996e-07,0.012838555,316588,UNKNOWN,90,UNKNOWN,OPTIMAL,828904.70502838236,0,OPTIMAL_CERTIFIED,828904.70502838236,0,0,0,true,true,11,0,1,0,0,true,5x14
5,14,808,0.0,163760,0.26714721000000002,0.31113881799999998,2.1875948680000001,1.5060000000000001e-06,2.7847435809999999,304288,0.0030125880000000001,0.022062516000000001,5.3399999999999999e-07,0.025075638000000001,304288,UNKNOWN,109,UNKNOWN,OPTIMAL,955379.2434509981,0,OPTIMAL_CERTIFIED,955379.2434509981,0,0,0,true,true,25,2,5,0,0,true,5x14
5,14,909,0.0,163760,0.26959879199999998,0.27763926100000003,0.40324929500000001,1.127e-06,0.96250226100000003,259980,0.002725093,0.001516919,5.4099999999999999e-07,0.0042425529999999996,259980,UNKNOWN,12,UNKNOWN,OPTIMAL,499569.20045730239,0,OPTIMAL_CERTIFIED,499569.20045730239,0,0,0,true,true,3,0,1,0,0,true,5x14
5,14,1010,0.0,163760,0.27539965100000002,0.290396284,4.2217237580000004,1.2130000000000001e-06,4.7991948659999997,294464,0.0028125170000000001,0.013500414000000001,5.7400000000000003e-07,0.016313504999999999,294464,UNKNOWN,105,UNKNOWN,OPTIMAL,826215.27800089668,0,OPTIMAL_CERTIFIED,826215.27800089656,0,1.1641532182693481e-10,1.4090192341711754e-16,true,true,16,0,1,0,0,true,5x14
5,14,101,0.4,163760,0.29977704500000002,0.31340073800000001,5.250941149,1.9420000000000002e-06,5.8796668140000001,315056,0.0027331629999999998,0.020121300000000002,5.2900000000000004e-07,0.022854992000000001,315056,UNKNOWN,119,UNKNOWN,OPTIMAL,685943.61972743354,0,OPTIMAL_CERTIFIED,685943.61972743354,0,0,0,true,true,17,0,1,0,0,true,5x14
5,14,202,0.4,163760,0.29187941499999998,0.31276718199999998,1.087794827,1.4759999999999999e-06,1.7078144179999999,316148,0.0029831179999999999,0.013168043000000001,5.7400000000000003e-07,0.016151735,316148,UNKNOWN,52,UNKNOWN,OPTIMAL,700342.05728918558,0,OPTIMAL_CERTIFIED,700342.05728918558,0,0,0,true,true,7,0,1,0,0,true,5x14
5,14,303,0.4,163760,0.29413604500000001,0.28370784500000001,1.884371131,1.854e-06,2.4816686100000003,308092,0.0034087409999999999,0.0084375309999999999,5.7100000000000002e-07,0.011846842999999999,308092,UNKNOWN,63,UNKNOWN,OPTIMAL,819294.44108846271,0,OPTIMAL_CERTIFIED,819294.4410884626,0,1.1641532182693481e-10,1.4209216612317398e-16,true,true,8,0,1,0,0,true,5x14
5,14,404,0.4,163760,0.29604805699999998,0.326903212,2.3169099470000001,1.5099999999999999e-06,2.9518751550000002,264180,0.003091926,0.0053854610000000002,4.8800000000000003e-07,0.0084778749999999993,264180,UNKNOWN,43,UNKNOWN,OPTIMAL,586839.16213623015,0,OPTIMAL_CERTIFIED,586839.16213623015,0,0,0,true,true,7,0,1,0,0,true,5x14
