size_id,num_dc,num_retailers,fixed_w,paired_instances,complete_column_count,cplex_certified,bp_certified,objective_matches,max_abs_diff,max_rel_diff_pct,mean_reference_total_wall_time_sec,sd_reference_total_wall_time_sec,max_reference_total_wall_time_sec,mean_bp_total_wall_time_sec,sd_bp_total_wall_time_sec,max_bp_total_wall_time_sec,mean_time_ratio_cplex_over_bp,median_time_ratio_cplex_over_bp,mean_bp_generated_columns,mean_reference_peak_rss_mb,mean_bp_peak_rss_mb,anomalies
5x14,5,14,0.0,10,163760,10,10,10,1.1641532182693481e-10,1.4090192341711754e-14,2.0977543891,1.2738905791705497,4.799194866,0.0118256218,0.007310860991741394,0.025075638,188.1441321630541,181.7394461607242,65.2,275.3390625,275.3390625,0
5x14,5,14,0.4,10,163760,10,10,10,1.1641532182693481e-10,1.4209216612317398e-14,2.4403756868,1.4301728616310876,5.879666814,0.0141572678,0.005441443713854722,0.022854992,177.2204439355722,174.0806231380947,70.5,290.9015625,290.9015625,0
5x14,5,14,0.8,10,163760,10,10,10,0.0,0.0,2.880065949,1.728368018792549,6.3322489410000005,0.0287837207,0.0097567834573951,0.044582926,101.04468125641591,131.69039376557777,98.5,303.119140625,303.119140625,0
5x16,5,16,0.0,10,655270,10,10,10,0.0,0.0,9.5316921893,3.7276140252123438,14.922455706,0.0272639833,0.007318424659572533,0.042469606,344.10643400307697,351.36788662461333,72.6,1121.575,1121.575,0
5x16,5,16,0.4,10,655270,10,10,10,2.3283064365386963e-10,2.153272696986358e-14,10.1509968024,3.1601386370891853,15.18961433,0.0314398428,0.0055891465824565315,0.042294976000000005,330.2733230338278,319.05409684171235,78.1,1164.6578125,1164.6578125,0
5x16,5,16,0.8,10,655270,10,10,10,1.1641532182693481e-10,1.9070289011113125e-14,10.2437176028,2.580157298034642,14.085881515999999,0.0704787631,0.04051130251978648,0.169351608,169.25091844289508,180.26412669904883,135.3,1235.814453125,1235.814453125,0
5x18,5,18,0.0,10,2621340,10,10,10,2.3283064365386963e-10,1.9449782184893585e-14,34.0494217652,9.204768016892494,48.423240852000006,0.0940967791,0.007966254170001387,0.10553460099999999,359.0245386509888,351.7414803241654,85.9,4557.28984375,4557.28984375,0
5x18,5,18,0.4,10,2621340,10,10,10,2.3283064365386963e-10,2.207390957265442e-14,56.9648447048,39.41341653957229,130.108074531,0.10971310079999999,0.017658765200502437,0.148556122,518.8178856115067,353.4143831134126,117.9,4825.219140625,4825.219140625,0
5x18,5,18,0.8,10,2621340,10,10,10,1.1641532182693481e-10,1.8690060699543144e-14,52.294898825299995,19.925756258088636,98.241736886,0.16803601710000002,0.08014103428971431,0.38722901400000004,344.1627754077085,305.71997212988447,183.1,5014.07890625,5014.07890625,0
