component,value
revenue,2.72126e+08
facility_fixed_cost,1.67485e+07
inventory_cost,3.9791e+06
supplier_dc_transport_cost,4.73994e+07
dc_market_transport_cost,3.06823e+07
total_transport_cost,7.80817e+07
investment_cost,6.35383
carbon_trading_cost,432.328
reported_total_profit,1.73346e+08
recomputed_total_profit,1.73346e+08
objective_decomposition_error,2.98023e-08
