Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2367928.671520,1080465.660859,200000.000000,24.268668
1,2367928.671520,1449890.164202,207123.054004,24.268668
2,2367928.671520,1860430.293941,1230920.306678,24.268668
3,2368393.062694,2059315.297224,827238.165762,24.268668
4,2368393.062694,2188365.015049,1778519.943531,24.268668
5,2368393.062694,2225762.787547,1878681.207645,24.268668
6,2368393.062694,2278502.483264,2158282.178582,24.268668
7,2368629.302251,2292000.683974,2148589.525230,24.268668
8,2369250.827333,2297084.090726,2108510.133777,24.268668
9,2369507.545117,2323208.235686,2145037.229690,24.268668
10,2369507.545117,2309875.744913,2117261.133112,24.268668
