Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2125766.856090,1698451.140076,1354302.581500,16.683047
1,2125859.279620,1849626.233997,1375393.347164,16.683047
2,2125859.279620,1975340.637094,1668479.539382,16.683048
3,2145898.303140,2030881.929565,1787100.389051,16.683048
4,2147922.656976,2075778.665018,1965375.415654,16.683048
5,2148457.897510,2090787.589527,1962368.998068,16.683048
6,2148457.897510,2099908.306558,2022295.392863,16.683048
7,2154477.446118,2102406.164436,1922140.133449,16.683048
8,2154477.446118,2106849.966800,1999306.826300,16.683048
9,2158987.625900,2120738.336023,2071282.880279,16.683050
10,2161437.423543,2126823.268182,2014278.326508,16.683050
11,2161437.423543,2143626.489013,2115145.326106,16.683050
12,2164490.677402,2142638.668525,2015076.318583,16.683050
13,2168334.686274,2140730.599919,1984351.603014,16.683050
14,2168334.686274,2144656.297484,2085110.169442,16.683050
15,2168334.686274,2154200.267249,2129663.638406,16.683050
16,2168503.019192,2157343.185196,2113119.517415,16.683050
17,2170873.844638,2158842.548942,2122500.131003,16.683059
18,2171942.563567,2158526.620471,2101556.900177,16.683059
19,2172241.023982,2157235.179472,2060157.130274,16.683059
20,2174735.817565,2142254.216111,1962004.004885,16.683059
21,2174735.817565,2153152.980952,1969029.852247,16.683059
22,2176125.558840,2160739.058003,2120388.104742,16.683059
23,2176125.558840,2166446.114914,2098770.900703,16.683059
24,2181179.957482,2162624.238839,2108654.746391,16.683059
25,2181179.957482,2161711.839343,2040373.140328,16.683059
26,2181179.957482,2157320.005316,1977298.716322,16.683059
27,2181179.957482,2164914.885634,2088805.486565,16.683059
28,2181179.957482,2170713.811856,2139427.835367,16.683059
29,2181242.540253,2167752.280283,2089477.277526,16.683059
30,2182662.311641,2168906.236083,2119661.413344,16.683059
31,2182662.311641,2164924.664015,2079977.485167,16.683059
32,2182662.311641,2167161.662187,2122822.009909,16.683059
33,2182662.311641,2172261.271661,2152850.071046,16.683060
34,2182662.311641,2164162.688704,2103373.093515,16.683060
