distance_km,mean_w_open_dcs,mean_demand_weighted_w,mean_max_w,mean_min_w
0,0.0019550325000000004,0.0023384081,0.084359738,0.0
5,0.0024926688000000002,0.0025334652,0.19423266200000003,0.0
10,0.0020202036,0.0024753165,0.30039093499999997,0.0
15,0.0021994138,0.0021923609799999995,0.179863134,0.0
20,0.0015640273,0.0017787314000000001,0.148973544,0.0
