distance_km,random_seed,output_dir,validation_status,outer_status,final_inner_bp_status,integer_solution,relative_gap,wall_time_sec,ga_generations,actual_bp_calls,fitness_cache_hits,cg_iterations,branch_nodes,num_open_dcs,mean_w_open_dcs,demand_weighted_mean_w,max_w,revenue,facility_fixed_cost,inventory_cost,supplier_dc_transport_cost,dc_market_transport_cost,total_transport_cost,investment_cost,carbon_trading_cost,reported_total_profit,recomputed_total_profit,objective_decomposition_error,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_emission,emission_decomposition_error,carbon_quota,allowance_shortage,allowance_surplus,net_carbon_trading_cost,best_w
5,101,D05/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.621083,11,259,71,1540,0,6,0.00195503,0.00294683,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,46.6902,1644.58,1.7522e+08,1.7522e+08,-2.98023e-08,658.71,3.95171,10097.7,4504.75,15265.1,0,14442.8,822.289,0,1644.58,0;0.00195503;0.000977517;0.00782014;0;0;0;0.000977517
5,202,D05/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.67102,11,259,71,1550,0,6,0.00309547,0.00410947,0.201369,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.52033e+07,8.16852e+07,71.8054,1611.55,1.7522e+08,1.7522e+08,-2.98023e-08,657.957,3.9469,10082.3,4504.41,15248.6,1.81899e-12,14442.8,805.773,0,1611.55,0;0;0.0058651;0.00782014;0.000977517;0.201369;0.00391007;0
5,303,D05/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.638674,11,273,57,1629,0,6,0.000814598,0.000472792,0.500489,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52034e+07,8.16853e+07,9.78247,1716.9,1.7522e+08,1.7522e+08,2.98023e-08,659.462,3.95894,10120.9,4516.93,15301.3,1.81899e-12,14442.8,858.451,0,1716.9,0.500489;0;0;0;0;0;0;0.00488759
5,404,D05/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.669401,11,268,62,1599,0,6,0.00276963,0.0026167,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,50.0393,1653.4,1.7522e+08,1.7522e+08,5.96046e-08,658.172,3.95071,10101.8,4505.58,15269.5,-1.81899e-12,14442.8,826.701,0,1653.4,0;0.000977517;0;0.00195503;0;0;0.00782014;0.0058651
5,505,D05/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.680497,11,279,51,1654,0,6,0.00391007,0.00374727,0.0117302,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.52033e+07,8.16852e+07,97.0502,1613.13,1.7522e+08,1.7522e+08,0,657.419,3.94666,10082.3,4505.76,15249.4,1.81899e-12,14442.8,806.567,0,1613.13,0;0;0.00391007;0.00782014;0.0117302;0;0;0
5,606,D05/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.682777,11,262,68,1553,0,6,0.00130336,0.00169823,0.56305,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,13.737,1690.16,1.7522e+08,1.7522e+08,2.98023e-08,659.14,3.95529,10111.3,4513.57,15287.9,3.63798e-12,14442.8,845.08,0,1690.16,0.000977517;0.00195503;0.00391007;0.00195503;0;0.56305;0;0
5,707,D05/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.644688,11,264,66,1563,0,6,0.00391007,0.00273978,0.00782014,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,62.5915,1647.48,1.7522e+08,1.7522e+08,0,657.419,3.94852,10097.3,4507.96,15266.6,0,14442.8,823.738,0,1647.48,0;0.00391007;0.00391007;0;0.00782014;0.00782014;0;0.00782014
5,808,D05/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.635643,11,257,73,1518,0,6,0.00228087,0.00207474,0.15738,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16852e+07,36.5615,1665.17,1.7522e+08,1.7522e+08,2.98023e-08,658.495,3.95274,10100.6,4512.38,15275.4,-1.81899e-12,14442.8,832.587,0,1665.17,0.15738;0;0.00391007;0.00195503;0;0.0703812;0;0.00782014
5,909,D05/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.648467,11,277,53,1648,0,6,0.00358423,0.00390662,0.250244,2.77769e+08,1.67485e+07,4.14452e+06,5.64818e+07,2.52033e+07,8.16852e+07,81.6487,1603.85,1.7522e+08,1.7522e+08,-2.98023e-08,657.634,3.94671,10083.4,4499.81,15244.8,1.81899e-12,14442.8,801.925,0,1603.85,0.250244;0;0;0.00782014;0.000977517;0;0.00488759;0.00782014
5,1010,D05/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.685492,11,276,54,1633,0,6,0.00130336,0.00102222,0.234604,2.77769e+08,1.67485e+07,4.14452e+06,5.64819e+07,2.52033e+07,8.16853e+07,14.4301,1703.03,1.7522e+08,1.7522e+08,-2.98023e-08,659.14,3.9568,10117.1,4514.15,15294.4,0,14442.8,851.515,0,1703.03,0.00782014;0;0;0;0;0.234604;0.00391007;0.00391007
10,101,D10/seed_101_attempt_03,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.67064,11,257,73,1466,0,6,0.00407299,0.0049483,0.57087,2.72126e+08,1.67485e+07,3.9791e+06,4.73993e+07,2.94409e+07,7.68402e+07,103.602,-145.518,1.74587e+08,1.74587e+08,5.96046e-08,657.312,3.78705,8464.35,5244.63,14370.1,-1.81899e-12,14442.8,0,72.7588,-145.518,0.500489;0.00782014;0.00293255;0;0.00195503;0.57087;0.000977517;0.0107527
10,202,D10/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.679939,11,265,65,1530,0,6,0.000977517,0.00178295,0.00782014,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.94409e+07,7.68403e+07,13.2777,-45.3476,1.74587e+08,1.74587e+08,2.98023e-08,659.355,3.79889,8492.6,5264.42,14420.2,0,14442.8,0,22.6738,-45.3476,0.00782014;0.00391007;0;0.000977517;0;0;0.000977517;0
10,303,D10/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.664535,11,265,65,1520,0,6,0.00130336,0.00308974,0.00782014,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.94409e+07,7.68403e+07,49.7175,-77.1422,1.74587e+08,1.74587e+08,2.98023e-08,659.14,3.79595,8490.22,5251.12,14404.3,1.81899e-12,14442.8,0,38.5711,-77.1422,0;0.00782014;0;0;0;0;0;0
10,404,D10/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.699242,11,269,61,1543,0,6,0.000325839,0.000462915,0.250244,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.9441e+07,7.68404e+07,1.12302,-11.1599,1.74587e+08,1.74587e+08,0,659.785,3.80255,8497.88,5275.79,14437.3,0,14442.8,0,5.57996,-11.1599,0.250244;0.000977517;0;0;0;0.00782014;0.000977517;0
10,505,D10/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.672028,11,279,51,1526,0,6,0.00130336,0.00102091,0.00391007,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.9441e+07,7.68403e+07,13.7669,-30.3544,1.74587e+08,1.74587e+08,2.98023e-08,659.14,3.79947,8486.51,5278.22,14427.7,0,14442.8,0,15.1772,-30.3544,0;0;0.00391007;0;0.00391007;0;0;0
10,606,D10/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.637748,11,267,63,1525,0,6,0.0016292,0.0011067,0.195503,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.9441e+07,7.68403e+07,27.0518,-44.3459,1.74587e+08,1.74587e+08,-2.98023e-08,658.925,3.79876,8484.34,5273.6,14420.7,1.81899e-12,14442.8,0,22.1729,-44.3459,0;0;0;0.00195503;0;0.195503;0;0.00782014
10,707,D10/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.714798,11,271,59,1500,0,6,0.00391007,0.00359663,0.852395,2.72126e+08,1.67485e+07,3.9791e+06,4.73993e+07,2.94409e+07,7.68403e+07,66.1467,-112.432,1.74587e+08,1.74587e+08,2.98023e-08,657.419,3.7899,8466.26,5259.16,14386.6,0,14442.8,0,56.2161,-112.432,0;0.00391007;0.00391007;0;0.00782014;0.852395;0;0.00782014
10,808,D10/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.62891,11,258,72,1460,0,6,0.00228087,0.0041865,0.876833,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.94409e+07,7.68403e+07,60.524,-108.336,1.74587e+08,1.74587e+08,2.98023e-08,658.495,3.79172,8477.23,5249.15,14388.7,1.81899e-12,14442.8,0,54.1679,-108.336,0.876833;0.00782014;0.00391007;0.00195503;0;0.0703812;0;0
10,909,D10/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.656236,11,284,46,1556,0,6,0,0,0,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.9441e+07,7.68404e+07,0,-1.28003e-05,1.74587e+08,1.74587e+08,2.98023e-08,660,3.804,8499.68,5279.36,14442.8,3.63798e-12,14442.8,0,6.40013e-06,-1.28003e-05,0;0;0;0;0;0;0;0
10,1010,D10/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.709117,11,278,52,1564,0,6,0.00439883,0.00455852,0.238514,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,2.94409e+07,7.68402e+07,105.07,-134.099,1.74587e+08,1.74587e+08,0,657.097,3.78764,8469.46,5245.45,14375.8,1.81899e-12,14442.8,0,67.0496,-134.099,0.125122;0.00782014;0;0.000977517;0.0117302;0.238514;0.000977517;0.00488759
15,101,D15/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.575828,11,261,69,1336,0,6,0.00293255,0.00216086,0.0703812,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.7461e+07,45.3661,146.173,1.73967e+08,1.73967e+08,2.98023e-08,658.065,3.79419,8472.86,5381.21,14515.9,-1.81899e-12,14442.8,73.0864,0,146.173,0.00782014;0;0.000977517;0.0058651;0.000977517;0.0703812;0.00195503;0.00782014
15,202,D15/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.649846,11,268,62,1373,0,6,0.00179211,0.00175476,0.0527859,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.7461e+07,34.684,168.43,1.73967e+08,1.73967e+08,0,658.817,3.79697,8480.38,5384.06,14527.1,1.81899e-12,14442.8,84.2151,0,168.43,0;0;0.00195503;0.00782014;0;0.0527859;0.000977517;0
15,303,D15/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.571774,11,261,69,1332,0,6,0.00260671,0.00258549,0.00782014,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.7461e+07,49.4864,142.374,1.73967e+08,1.73967e+08,0,658.28,3.79357,8467.78,5384.18,14514,3.63798e-12,14442.8,71.1872,0,142.374,0;0;0.00782014;0.00391007;0;0.00195503;0;0.00391007
15,404,D15/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.627289,11,267,63,1428,0,6,0.00456175,0.00516106,0.250244,2.72126e+08,1.67485e+07,3.9791e+06,4.73993e+07,3.00616e+07,7.74609e+07,125.947,78.0426,1.73967e+08,1.73967e+08,-2.98023e-08,656.989,3.7854,8455.8,5365.29,14481.9,1.81899e-12,14442.8,39.0213,0,78.0426,0;0.0058651;0.0107527;0;0.00977517;0.250244;0;0.000977517
15,505,D15/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.678986,11,276,54,1426,0,6,0.00130336,0.00102091,0.00391007,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.7461e+07,13.7669,191.844,1.73967e+08,1.73967e+08,2.98023e-08,659.14,3.79947,8486.51,5389.32,14538.8,0,14442.8,95.9219,0,191.844,0;0;0.00391007;0;0.00391007;0;0;0
15,606,D15/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.620127,11,267,63,1375,0,6,0.0016292,0.0011067,0.195503,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.7461e+07,27.0518,178.014,1.73967e+08,1.73967e+08,0,658.925,3.79876,8484.34,5384.78,14531.8,3.63798e-12,14442.8,89.0068,0,178.014,0;0;0;0.00195503;0;0.195503;0;0.00782014
15,707,D15/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.604363,11,272,58,1407,0,6,0.00391007,0.00359663,0.852395,2.72126e+08,1.67485e+07,3.9791e+06,4.73993e+07,3.00616e+07,7.74609e+07,66.1467,109.337,1.73967e+08,1.73967e+08,2.98023e-08,657.419,3.7899,8466.26,5370.04,14497.5,0,14442.8,54.6686,0,109.337,0;0.00391007;0.00391007;0;0.00782014;0.852395;0;0.00782014
15,808,D15/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,0.601616,11,256,74,1312,0,6,0.00244379,0.00415603,0.218964,2.72126e+08,1.67485e+07,3.9791e+06,4.73994e+07,3.00616e+07,7.74609e+07,68.1867,109.269,1.73967e+08,1.73967e+08,-2.98023e-08,658.387,3.79162,8478.29,5357.01,14497.5,0,14442.8,54.6344,0,109.269,0.218964;0.00782014;0;0.0058651;0;0.0703812;0;0.000977517
