distance_km,random_seed,profit_difference_vs_10km,emission_difference_vs_10km,investment_difference_vs_10km,wall_time_difference_vs_10km
0,101,1297000.0,778.3999999999996,-57.3031,0.015195999999999987
0,202,1297000.0,717.8999999999996,50.558400000000006,-0.029590000000000005
0,303,1297000.0,778.0,-39.93503,-0.016801999999999984
0,404,1297000.0,661.8000000000011,167.93998,-0.04833500000000002
0,505,1297000.0,703.0999999999985,83.2833,0.012851000000000057
0,606,1297000.0,772.0,-27.0518,0.03702400000000006
0,707,1297000.0,786.5,-37.4725,-0.06785300000000005
0,808,1297000.0,775.8999999999996,-36.0381,-0.020546999999999982
0,909,1297000.0,747.5,0.549861,0.017952999999999997
0,1010,1297000.0,766.2000000000007,-53.079299999999996,-0.008445000000000036
5,101,633000.0,895.0,-56.91180000000001,-0.04955699999999996
5,202,633000.0,828.3999999999996,58.52770000000001,-0.00891900000000001
5,303,633000.0,897.0,-39.93503,-0.025861000000000023
5,404,633000.0,832.2000000000007,48.91628,-0.029841000000000006
5,505,633000.0,821.6999999999989,83.2833,0.00846900000000006
5,606,633000.0,867.1999999999989,-13.3148,0.045028999999999986
5,707,633000.0,880.0,-3.555199999999992,-0.07011
5,808,633000.0,886.6999999999989,-23.9625,0.006732999999999989
5,909,633000.0,802.0,81.6487,-0.007769000000000026
5,1010,633000.0,918.6000000000004,-90.6399,-0.023625000000000007
15,101,-620000.0,145.79999999999927,-58.2359,-0.09481200000000001
15,202,-620000.0,106.89999999999964,21.406299999999998,-0.030092999999999925
15,303,-620000.0,109.70000000000073,-0.23109999999999786,-0.09276099999999998
15,404,-620000.0,44.600000000000364,124.82398,-0.07195300000000004
15,505,-620000.0,111.09999999999854,0.0,0.00695800000000002
15,606,-620000.0,111.09999999999854,0.0,-0.017620999999999998
15,707,-620000.0,110.89999999999964,0.0,-0.11043500000000006
15,808,-620000.0,108.79999999999927,7.662700000000001,-0.02729399999999993
15,909,-620000.0,110.10000000000036,0.310569,-0.010730000000000017
15,1010,-620000.0,171.70000000000073,-102.26253,-0.05835299999999999
20,101,-1241000.0,253.6999999999989,-53.3346,-0.05842500000000006
20,202,-1241000.0,218.0,21.406299999999998,-0.046362000000000014
20,303,-1241000.0,234.0,-16.551000000000002,-0.002646999999999955
20,404,-1241000.0,223.3000000000011,-0.3461829999999999,-0.07986900000000008
20,505,-1241000.0,222.1999999999989,0.0,0.0063750000000000195
20,606,-1241000.0,237.09999999999854,-23.80088,-0.006626000000000021
20,707,-1241000.0,221.79999999999927,0.0,-0.06326300000000007
20,808,-1241000.0,221.79999999999927,0.0,0.014442999999999984
20,909,-1241000.0,216.20000000000073,6.35383,0.026872000000000007
20,1010,-1241000.0,278.3000000000011,-100.77147,-0.022658999999999985
