Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2201520.268845,1782226.148240,1461959.620677,25.652371
1,2201520.268845,1902629.603940,1536864.961458,25.652371
2,2201520.268845,1958700.681540,1721076.008508,25.652371
3,2201520.268845,1984547.204302,1445182.517300,25.652371
4,2201520.268845,2020952.939226,1729811.426533,25.652371
5,2201520.268845,2056405.050756,1941622.309188,25.652372
6,2203770.900504,2120883.302358,1980060.755518,25.652372
7,2205676.614949,2171249.723322,2065329.277820,25.652372
8,2205676.614949,2173680.913535,2090170.348616,25.652372
9,2206771.037468,2177997.700739,2069035.645231,25.652372
10,2208482.463223,2184672.399292,2084437.610744,25.652372
11,2214505.213020,2196704.755506,2126461.404135,25.652372
12,2217781.449899,2193209.971539,2083371.157790,25.652372
13,2225408.383723,2197431.690169,2104810.074301,25.652372
14,2225408.383723,2202212.228149,2127314.289780,25.652372
15,2225408.383723,2206897.618001,2175587.292624,25.652372
16,2225408.383723,2210675.935504,2183228.136681,25.652372
17,2226271.314180,2209664.045380,2071439.080628,25.652381
18,2231755.901994,2209886.705879,2049815.967944,25.652381
19,2231965.076967,2216585.019346,2167259.346687,25.652381
20,2231965.076967,2217126.023423,2142023.929194,25.652381
21,2231965.076967,2211046.491873,2101562.314334,25.652381
22,2232870.264638,2213261.152643,2124902.028997,25.652381
23,2232870.264638,2212900.278770,2062839.314280,25.652381
24,2233696.153267,2217503.738810,2144332.751930,25.652381
25,2233696.153267,2216718.083804,2080601.247068,25.652381
26,2234328.779889,2217431.977779,2116403.198514,25.652381
27,2234328.779889,2207255.937538,2102992.650917,25.652381
28,2234328.779889,2222172.764280,2195812.662123,25.652381
