dc_index,dc_open,w,p,D,Q_star,served_retailers,profit
0,false,0,0,0,0,"",0
1,true,0,310,293751,3427.8331347952162,"1;3;4;9",60086099.248585753
2,true,0,470,147172,2426.2893479550207,"2",51034814.870847702
3,true,0,240,122746,2215.8158768273142,"8;10;12",11538961.741297754
4,true,0,610,46950,1370.4014010500719,"11",18904631.298260499
5,false,0,0,0,0,"",0
6,true,0,360,58335,1527.5470532851025,"6",14365294.35711702
7,true,0,440,74531,1726.6267691658206,"7;14",18657518.169472426
