component,value
revenue,272126430
facility_fixed_cost,16748519.784946237
inventory_cost,3979098.8112490587
supplier_dc_transport_cost,47399413.309844397
dc_market_transport_cost,30061641.125090953
total_transport_cost,77461054.434935346
investment_cost,0.31056877563861751
carbon_trading_cost,220.18093330054035
reported_total_profit,173966642.3440727
recomputed_total_profit,173966642.34407267
objective_decomposition_error,2.9802322387695312e-08
