Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2591521.879444,2188154.538578,1529590.899097,74.762972
1,2591521.879444,2335703.623671,1905007.784411,74.762972
2,2591521.879444,2378959.022755,1891697.778542,74.762972
3,2592155.446157,2417842.313000,2140866.716044,74.762972
4,2592155.446157,2417946.555284,2007036.938116,74.762973
5,2594654.234783,2463460.942554,2305065.997549,74.762973
6,2594654.234783,2500642.666899,2189008.862853,74.762973
7,2594654.234783,2506060.208088,2248329.526246,74.762973
8,2610295.819792,2539071.699787,2337498.648627,74.762973
9,2610295.819792,2556599.319036,2416142.508915,74.762973
10,2610791.788747,2574078.251446,2448372.545306,74.762973
11,2610791.788747,2587539.215514,2511600.503174,74.762973
12,2610791.788747,2591235.048407,2549906.120363,74.762973
13,2610791.788747,2587092.094852,2460668.491342,74.762973
14,2610791.788747,2581182.286422,2260785.278624,74.762973
15,2610791.788747,2588367.992051,2536867.638850,74.762973
16,2610791.788747,2591717.806814,2460160.146395,74.762973
17,2612243.058632,2599084.100506,2544514.892497,74.762976
18,2612482.898378,2600802.256160,2547279.116384,74.762976
