Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.73967e+08,1.72976e+08,1.72108e+08,0.0596802
1,1.73967e+08,1.7318e+08,1.72499e+08,0.108091
2,1.73967e+08,1.736e+08,1.73109e+08,0.15815
3,1.73967e+08,1.73726e+08,1.73276e+08,0.21605
4,1.73967e+08,1.73819e+08,1.73498e+08,0.257924
5,1.73967e+08,1.73854e+08,1.73624e+08,0.317503
6,1.73967e+08,1.73868e+08,1.73684e+08,0.374387
7,1.73967e+08,1.73876e+08,1.73526e+08,0.429791
8,1.73967e+08,1.73873e+08,1.73662e+08,0.488036
9,1.73967e+08,1.73898e+08,1.73561e+08,0.554934
10,1.73967e+08,1.73911e+08,1.7374e+08,0.611429
