order_id,size_id,scenario_id,screening_dimension,level,random_seed,delta,gamma,status,validation_status,completion_marker,output_directory
20,10x30,DELTA_02000_GAMMA_050,delta,2000,505,2000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_02000_GAMMA_050
21,10x30,DELTA_05000_GAMMA_050,delta,5000,505,5000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_05000_GAMMA_050
22,10x30,DELTA_07500_GAMMA_050,delta,7500,505,7500,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_07500_GAMMA_050
23,10x30,DELTA_10000_GAMMA_050,delta,10000,505,10000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_10000_GAMMA_050
24,10x30,DELTA_15000_GAMMA_050,delta,15000,505,15000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_15000_GAMMA_050
25,10x30,DELTA_03000_GAMMA_010,gamma,0.1,505,3000,0.1,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_010
26,10x30,DELTA_03000_GAMMA_020,gamma,0.2,505,3000,0.2,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_020
27,10x30,DELTA_03000_GAMMA_030,gamma,0.3,505,3000,0.3,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_030
28,10x30,DELTA_03000_GAMMA_040,gamma,0.4,505,3000,0.4,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_040
29,10x30,DELTA_03000_GAMMA_060,gamma,0.6,505,3000,0.6,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_060
30,10x30,DELTA_03000_GAMMA_070,gamma,0.7,505,3000,0.7,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_070
31,10x30,DELTA_03000_GAMMA_080,gamma,0.8,505,3000,0.8,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_080
32,10x30,DELTA_03000_GAMMA_090,gamma,0.9,505,3000,0.9,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_505/DELTA_03000_GAMMA_090
33,10x30,BASELINE_DELTA_03000_GAMMA_050,delta,3000,909,3000,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/BASELINE_DELTA_03000_GAMMA_050
34,10x30,DELTA_00500_GAMMA_050,delta,500,909,500,0.5,PENDING,,,/home/peizeyu2026/smart_wolf_project/ZTT-OR/20260715 ZTT-OR/5_重构代码v2/results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/screening_48runs_resumable_20260802_1430/seed_909/DELTA_00500_GAMMA_050
