parameter,level,n,mean_profit,median_profit,mean_emissions,median_emissions,mean_investment_cost,mean_positive_w_count,mean_all_candidate_w,mean_open_dc_w,mean_max_w,network_change_count_vs_baseline,degenerate_boundary_flag
gamma,0.1,3,2877036.17133299,2939048.80701306,10999.72591514612,11933.4487249128,28940.0308924066,10,0.904887585532747,0.904887585532747,0.998370804822418,0,
gamma,0.2,3,2830922.27885954,2911516.64327482,12479.060456241203,10429.9807158425,70747.55488618364,10,0.9149234278266537,0.9149234278266537,0.9980449657869013,0,
gamma,0.3,3,2722680.0251371064,2809394.90305868,17946.6065530951,18246.8635695916,161523.01350405833,10,0.8732811990876508,0.8732811990876508,0.9954382535027697,1,
gamma,0.4,3,2501714.030211523,2632107.77830462,56660.04203094346,63508.3056484322,287923.8502512377,10,0.6866405995438254,0.6866405995438254,0.992831541218638,1,
gamma,0.6,3,2099649.6481044968,2198978.6380952,361851.7463554433,357045.733285055,81644.71247269427,10,0.17722385141739985,0.17722385141739985,0.461062235255784,0,
gamma,0.7,3,2053602.9950343699,2145340.33835815,412101.57239677134,397910.182241683,27078.728312586874,9,0.11515151515151516,0.11515151515151516,0.376018246985989,0,
gamma,0.8,3,2039145.1571277268,2127226.11577107,409402.7432599977,414241.641669111,4592.72776172036,4,0.012316715542522002,0.012316715542522002,0.0671228413163898,0,
gamma,0.9,3,2038489.8055096732,2127277.42956445,411228.536550504,418939.466857457,1591.7344330353126,4.333333333333333,0.021733463668947538,0.021733463668947538,0.19811013359400456,0,
