size_id,scenario_id,screening_dimension,screening_level,random_seed,delta,investment_exponent,outer_status,inner_bp_status,has_integer_solution,outcome,total_profit,carbon_emission,total_investment_cost,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,ga_generations,fitness_requests,fitness_bp_solves,actual_fitness_cache_hits,cache_hit_rate,cg_iterations,branch_nodes,best_w,w_vector_expected_length,w_vector_normalization_status,algorithm_commit,formal_tag,config_sha256,instance_fingerprint,demand_source,investment_recomputed,investment_abs_diff,user_time_sec,system_time_sec,wall_time_sec,max_rss_kb
10x30,DELTA_03000_GAMMA_080,gamma,0.8,101,3000,0.8,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2224519.57270544,367683.518689859,1253.15605329847,267683.518689859,0,535367.037379719,7,11,330,263,67,0.20303030303030303,8012,1,0.00782013685239492;0;0;0;0.00195503421309873;0;0;0.0127077223851417;0;0,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,9a7271217d4ab645c538b860a1f17fabeae87e4926d1ea27217053124ba898f8,9a7271217d4ab645c538b860a1f17fabeae87e4926d1ea27217053124ba898f8,report.txt D_j open DCs; closed DCs D=0,1253.15605329846,1.25055521493778e-11,136.33,0.84,22.05,15696
10x30,DELTA_03000_GAMMA_090,gamma,0.9,101,3000,0.9,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2223286.06245517,368432.198981702,988.031033544368,268432.198981702,0,536864.397963404,7,11,330,259,71,0.21515151515151515,6851,2,0;0;0;0.00782013685239492;0.00782013685239492;0.000977517106549365;0;0.00391006842619746;0;0,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,e4c269978e2e219a0e005347255ae375ac7559bd52dd9973c3286f19a7ba7a87,e4c269978e2e219a0e005347255ae375ac7559bd52dd9973c3286f19a7ba7a87,report.txt D_j open DCs; closed DCs D=0,988.031033544369,6.82121026329696e-13,119.25,0.96,21.06,15844
10x30,DELTA_05000_GAMMA_050,delta,5000,101,5000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2303920.06056728,291693.427132323,76623.8300266958,191693.427132323,0,383386.854264647,7,18,540,436,104,0.1925925925925926,11579,5,0.185728250244379;0.146627565982405;0.187683284457478;0.10752688172043;0.271749755620723;0.0664711632453568;0.0263929618768328;0.290322580645161;0.158357771260997;0.182795698924731,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,d8eb3238cc577dabed8125bf6e6fca4e67d4055626a1bbff16b8aac437603617,d8eb3238cc577dabed8125bf6e6fca4e67d4055626a1bbff16b8aac437603617,report.txt D_j open DCs; closed DCs D=0,76623.8300266957,1.16415321826935e-10,113.7,1.53,18.53,17016
10x30,DELTA_07500_GAMMA_050,delta,7500,101,7500,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2275243.63653506,308596.764493896,71457.0605412832,208596.764493896,0,417193.528987792,7,21,630,505,125,0.1984126984126984,14597,33,0.166177908113392;0.801564027370479;0.187683284457478;0.0410557184750733;0.0918866080156403;0.0869990224828935;0.0957966764418377;0.235581622678397;0.156402737047898;0.268817204301075,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,c8f4e9f515f59c27cc5fcf1c5888e7444cec2f825a13566bc561835391563b67,c8f4e9f515f59c27cc5fcf1c5888e7444cec2f825a13566bc561835391563b67,report.txt D_j open DCs; closed DCs D=0,71457.0605412832,4.36557456851006e-11,153.78,1.64,29.97,18380
10x30,DELTA_10000_GAMMA_050,delta,10000,101,10000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2261798.0890219,324721.43992235,50005.1030756683,224721.43992235,0,449442.879844701,7,13,390,319,71,0.18205128205128204,11678,79,0.0821114369501466;0.608015640273705;0.0625610948191593;0.103616813294233;0.0821114369501466;0.0869990224828935;0.10752688172043;0.178885630498534;0.594330400782014;0.579667644183773,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,e400a146ded625965f3972162cc8590ef28b725d959701d48fd20dee7104d928,e400a146ded625965f3972162cc8590ef28b725d959701d48fd20dee7104d928,report.txt D_j open DCs; closed DCs D=0,50005.1030756685,1.74622982740402e-10,162.2,1.29,45.82,17576
10x30,DELTA_15000_GAMMA_050,delta,15000,101,15000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2244086.79567061,350430.004520659,16234.8759818856,250430.004520659,0,500860.009041318,7,17,510,399,111,0.21764705882352942,12797,14,0;0;0.0166177908113392;0.0312805474095797;0.0312805474095797;0.0312805474095797;0.0664711632453568;0.0909090909090909;0.164222873900293;0.500488758553275,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,908403183474dfb227ad4b2d64d7420d9c67603a0c2787787c53088cd7c9b272,908403183474dfb227ad4b2d64d7420d9c67603a0c2787787c53088cd7c9b272,report.txt D_j open DCs; closed DCs D=0,16234.8759818856,4.54747350886464e-11,182.27,1.51,32.39,17184
10x30,BASELINE_DELTA_03000_GAMMA_050,delta,3000,505,3000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,1943512.15225311,246715.987314229,191098.538818986,146715.987314229,0,293431.974628459,9,32,960,778,182,0.18958333333333333,14154,43,0.170087976539589;0.411534701857283;0.350928641251222;0.841642228739003;0.186705767350929;0.428152492668622;0.61485826001955;0.241446725317693;0.072336265884653;0.429130009775171,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,79fba9aaf2fdafaa361626ed0fc09013b762f02cd28f435c5e8ffc669cf6a3d3,79fba9aaf2fdafaa361626ed0fc09013b762f02cd28f435c5e8ffc669cf6a3d3,report.txt D_j open DCs; closed DCs D=0,191098.538818986,3.49245965480804e-10,112.58,2.45,17.34,15832
10x30,DELTA_00500_GAMMA_050,delta,500,505,500,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2440907.59180517,9075.23055347409,186214.867065004,0,90924.7694465259,-181849.538893052,9,50,1500,1213,287,0.19133333333333333,24998,106,0.795698924731183;0.990224828934506;0.980449657869013;0.287390029325513;0.994134897360704;0.979472140762463;0.997067448680352;0.909090909090909;0.992179863147605;0.996089931573803,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,49b9895e05587068e6119c85c7e588fd54264af230c8b5df7ac4cf83d67463f5,49b9895e05587068e6119c85c7e588fd54264af230c8b5df7ac4cf83d67463f5,report.txt D_j open DCs; closed DCs D=0,186214.867065004,4.65661287307739e-10,229.25,3.85,34.35,16516
10x30,DELTA_01000_GAMMA_050,delta,1000,505,1000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2261853.74916223,42253.1964068081,291763.770361742,0,57746.8035931919,-115493.607186384,9,21,630,525,105,0.16666666666666666,11183,75,0.424242424242424;0.950146627565982;0.951124144672532;0.319648093841642;0.610948191593353;0.958944281524927;0.989247311827957;0.608015640273705;0.978494623655914;0.593352883675464,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,54ba796f3c6f244a1e53c06a9fa4667f1b3b41d4a496aa9881f9a6289b3b4218,54ba796f3c6f244a1e53c06a9fa4667f1b3b41d4a496aa9881f9a6289b3b4218,report.txt D_j open DCs; closed DCs D=0,291763.770361742,1.74622982740402e-10,101.59,1.6,15.61,15864
10x30,DELTA_02000_GAMMA_050,delta,2000,505,2000,0.5,GA_BEST_FOUND,OPTIMAL,1,HEURISTIC_BEST_FOUND,2033170.9199056,136138.233589695,322758.035752288,36138.2335896954,0,72276.4671793907,9,18,540,446,94,0.17407407407407408,9051,56,0.521016617790811;0.649071358748778;0.487781036168133;0.258064516129032;0.330400782013685;0.604105571847507;0.986314760508309;0.604105571847507;0.335288367546432;0.627565982404692,10,VALID_EXACT_LENGTH,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,7c8aba360e449c02166e7ea06c2073b04911af017ab5f83a19e1cbd73536650c,7c8aba360e449c02166e7ea06c2073b04911af017ab5f83a19e1cbd73536650c,report.txt D_j open DCs; closed DCs D=0,322758.035752288,1.16415321826935e-10,79.73,1.37,12.31,15912
