parameter,level,n,mean_profit,median_profit,mean_emissions,median_emissions,mean_investment_cost,mean_positive_w_count,mean_all_candidate_w,mean_open_dc_w,mean_max_w,network_change_count_vs_baseline,degenerate_boundary_flag
delta,500.0,3,2718826.221753597,2803373.34125329,13136.89928535043,10601.7739551687,182403.42369053533,10,0.9090583251873574,0.9090583251873574,0.9947865754317367,0,
delta,1000.0,3,2547611.3832844165,2658669.23539032,38726.2848163865,42253.1964068081,280908.56139725365,10,0.7598240469208213,0.7598240469208213,0.9941348973607037,1,
delta,2000.0,3,2316463.49361558,2456721.22372899,138412.57125981935,136138.233589695,306489.02975352865,10,0.5153796024763766,0.5153796024763766,0.9257086999022484,1,
delta,3000.0,3,2218994.60833222,2342419.31620575,247654.09272393,246715.987314229,197049.35092306434,10,0.3787227109807755,0.3787227109807755,0.8113391984359727,0,
delta,5000.0,3,2139846.9848470464,2250897.31141606,332729.396587829,320164.095625412,105905.7323698486,10,0.20430107526881713,0.20430107526881713,0.372759856630824,0,
delta,7500.0,3,2102443.4582144134,2203899.76637578,364635.054456394,364372.350370863,79422.77694019847,10,0.16692733789507974,0.16692733789507974,0.5089605734767023,0,
delta,10000.0,3,2085395.28038952,2182662.31164085,386501.610999661,380373.294633734,46544.07522227663,9.333333333333334,0.16731834473769958,0.16731834473769958,0.5656565656565656,0,
delta,15000.0,3,2064894.7419690099,2158577.06024138,404036.2642398433,388451.287098781,31935.68305725463,8.666666666666666,0.07109807754969047,0.07109807754969047,0.25741283805799936,0,
