Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.7522e+08,1.74244e+08,1.73435e+08,0.0835798
1,1.7522e+08,1.74443e+08,1.73776e+08,0.155544
2,1.7522e+08,1.749e+08,1.74419e+08,0.21626
3,1.7522e+08,1.74963e+08,1.74499e+08,0.286516
4,1.7522e+08,1.75046e+08,1.74619e+08,0.353366
5,1.7522e+08,1.75087e+08,1.74686e+08,0.394642
6,1.7522e+08,1.75129e+08,1.74955e+08,0.437997
7,1.7522e+08,1.75176e+08,1.74983e+08,0.48795
8,1.7522e+08,1.75168e+08,1.75062e+08,0.541199
9,1.7522e+08,1.75189e+08,1.75052e+08,0.599078
10,1.7522e+08,1.75185e+08,1.75021e+08,0.650172
