distance_km,metric,n,mean,sample_sd,median,min,max
0,reported_total_profit,10,175883817.4704982,17.800589119561447,175883816.0182461,175883793.46471447,175883843.03457496
0,revenue,10,277769320.0,0.0,277769320.0,277769320.0,277769320.0
0,facility_fixed_cost,10,16748517.41935484,2.160074433231686,16748517.52688172,16748513.11827957,16748520.0
0,inventory_cost,10,4144519.6426926833,0.014486995195150726,4144519.644357658,4144519.6123151733,4144519.6596777067
0,supplier_dc_transport_cost,10,56481876.3337341,38.841514048910206,56481879.022606865,56481814.04247639,56481927.34440877
0,dc_market_transport_cost,10,24539425.646406464,20.281693825761657,24539425.089329798,24539378.0898598,24539445.21697114
0,total_transport_cost,10,81021301.98014057,57.68839749121105,81021302.03577352,81021192.1323362,81021372.56137991
0,investment_cost,10,49.1730857970361,51.919182820471896,37.48653474032744,0.0,169.0626312863826
0,carbon_trading_cost,10,1426.6084900118142,59.75348708663636,1427.4192927294862,1312.4292329075251,1499.7873595218953
0,total_emission,10,15156.147131049796,29.87674354331818,15156.552532408632,15099.057502497652,15192.736565804837
0,facility_emission,10,658.7096774193549,1.080037216725396,658.763440860215,656.5591397849463,660.0
0,inventory_emission,10,3.9529208497038666,0.007243485523112632,3.953753335789402,3.9377321199939477,3.9614133471162365
0,supplier_dc_transport_emission,10,10102.845958052041,19.42075702536373,10104.190394434649,10071.700329195239,10128.351295390681
0,dc_market_transport_emission,10,4390.638574728696,10.140846912557647,4390.36003639469,4366.860301397473,4400.4238570670395
0,num_open_dcs,10,6.0,0.0,6.0,6.0,6.0
0,num_served_markets,10,13.0,0.0,13.0,13.0,13.0
0,mean_w_open_dcs,10,0.0019550342130987292,0.0016364200253415188,0.0018735744542196157,0.0,0.005213424568263278
0,demand_weighted_mean_w,10,0.002338408348448437,0.0020405991571813093,0.0022832389763828183,0.0,0.006583228733931886
0,wall_time_sec,10,0.6654409202,0.033316080410345804,0.6710324495,0.606947322,0.70548659
0,actual_bp_calls,10,266.3,9.369572502995474,265.5,251.0,278.0
0,fitness_cache_hits,10,63.7,9.369572502995474,64.5,52.0,79.0
0,cache_hit_rate,10,0.24059444084918546,0.04392960272724877,0.24297752808988765,0.18705035971223022,0.3147410358565737
0,ga_generations,10,11.0,0.0,11.0,11.0,11.0
0,cg_iterations,10,1581.9,63.14084784564321,1563.5,1492.0,1660.0
0,branch_nodes,10,0.0,0.0,0.0,0.0,0.0
5,reported_total_profit,10,175219913.24325782,13.755801716450355,175219912.93367314,175219889.91662067,175219933.25124127
5,revenue,10,277769320.0,0.0,277769320.0,277769320.0,277769320.0
5,facility_fixed_cost,10,16748516.709677419,1.5004185303478548,16748516.666666666,16748514.838709677,16748518.924731184
5,inventory_cost,10,4144519.6398475864,0.008855095081795765,4144519.639274288,4144519.6301650708,4144519.654726849
5,supplier_dc_transport_cost,10,56481869.57917842,28.090175214452724,56481868.97091748,56481835.2032677,56481912.529843435
5,dc_market_transport_cost,10,25203338.080178443,10.879535520302305,25203334.743044592,25203320.6451077,25203354.87738108
5,total_transport_cost,10,81685207.65935686,37.99007868327025,81685204.29523775,81685158.03499764,81685267.4072245
5,investment_cost,10,48.43363238384876,30.210497598040803,48.364752924069215,9.782468867767482,97.05016260272683
5,carbon_trading_cost,10,1654.925183807576,39.30466757591356,1650.4390236778472,1603.850382921475,1716.9029844566467
5,total_emission,10,15270.305477947677,19.65233378795678,15268.062397882812,15244.768077504626,15301.294378272212
5,facility_emission,10,658.3548387096774,0.7502092649649077,658.3333333333333,657.4193548387096,659.4623655913979
5,inventory_emission,10,3.951498303621553,0.004427540055336983,3.951211655085436,3.946657053892851,3.958937922546742
5,supplier_dc_transport_emission,10,10099.468680214946,14.045087607785769,10099.164549748166,10082.280724852699,10120.944012721875
5,dc_market_transport_emission,10,4508.530460719432,5.439767759837136,4506.86189379357,4499.812925350384,4516.9290620363945
5,num_open_dcs,10,6.0,0.0,6.0,6.0,6.0
5,num_served_markets,10,13.0,0.0,13.0,13.0,13.0
5,mean_w_open_dcs,10,0.0024926686217008795,0.00113668070449229,0.002525252525252525,0.0008145975887911372,0.0039100684261974585
5,demand_weighted_mean_w,10,0.0025334654363500225,0.0012248039419673548,0.002678238967863407,0.0004727924282701455,0.0041094670516861964
5,wall_time_sec,10,0.6300934555,0.04569494263231187,0.6306737405,0.528908813,0.687339883
5,actual_bp_calls,10,267.4,8.315981935740094,266.0,257.0,279.0
5,fitness_cache_hits,10,62.6,8.315981935740094,64.0,51.0,73.0
5,cache_hit_rate,10,0.2351769330885652,0.038261479936765645,0.24067164179104478,0.1827956989247312,0.2840466926070039
5,ga_generations,10,11.0,0.0,11.0,11.0,11.0
5,cg_iterations,10,1588.7,49.75060021971817,1581.0,1518.0,1654.0
5,branch_nodes,10,0.0,0.0,0.0,0.0,0.0
10,reported_total_profit,10,174587346.5310859,15.904827786964542,174587347.91242522,174587319.68558756,174587367.49738404
10,revenue,10,272126430.0,0.0,272126430.0,272126430.0,272126430.0
10,facility_fixed_cost,10,16748517.333333334,2.0978001960672024,16748518.064516129,16748514.193548389,16748520.0
10,inventory_cost,10,3979098.795222737,0.012271127081959142,3979098.798744209,3979098.7781412564,3979098.812040051
10,supplier_dc_transport_cost,10,47399381.49571269,25.83995497449842,47399386.638755925,47399344.49569499,47399415.14358174
10,dc_market_transport_cost,10,29440927.50244631,27.98548657632624,29440926.897903554,29440892.585107584,29440962.044562746
10,total_transport_cost,10,76840308.99815899,50.01256706423054,76840317.46177968,76840237.08080257,76840377.18814449
10,investment_cost,10,44.02797111663137,39.43734712615034,38.38465434576752,0.0,105.070257660222
10,carbon_trading_cost,10,-70.87348224047128,51.98816878227434,-61.244922356232564,-145.51759753415536,-1.2800264812540263e-05
10,total_emission,10,14407.406144923654,25.99408439113717,14412.220424865773,14370.084087276811,14442.842879643757
10,facility_emission,10,658.6666666666666,1.048900098119383,659.0322580645161,657.0967741935484,660.0
10,inventory_emission,10,3.7955942623881023,0.006135553125743074,3.7973549954768893,3.787053536792766,3.804002905238108
10,supplier_dc_transport_emission,10,8482.853365844063,12.919977487207506,8485.424887463789,8464.35335699296,8499.67730037096
10,dc_market_transport_emission,10,5262.090518150537,13.992743287461169,5261.788246776308,5244.631848790065,5279.361576367561
10,num_open_dcs,10,6.0,0.0,6.0,6.0,6.0
10,num_served_markets,10,12.0,0.0,12.0,12.0,12.0
10,mean_w_open_dcs,10,0.00202020202020202,0.00158924257290815,0.001466275659824047,0.0,0.00439882697947214
10,demand_weighted_mean_w,10,0.0024753150750095824,0.0018154611562443844,0.0024363432389105724,0.0,0.0049482953687151575
10,wall_time_sec,10,0.6381647061,0.025585297795586368,0.6360906820000001,0.608260063,0.68062192
10,actual_bp_calls,10,269.3,8.882567196480982,268.0,257.0,284.0
10,fitness_cache_hits,10,60.7,8.882567196480982,62.0,46.0,73.0
10,cache_hit_rate,10,0.22659334199656422,0.04024596316867306,0.23136042771814042,0.1619718309859155,0.2840466926070039
10,ga_generations,10,11.0,0.0,11.0,11.0,11.0
10,cg_iterations,10,1519.0,34.685892104876174,1525.5,1460.0,1564.0
10,branch_nodes,10,0.0,0.0,0.0,0.0,0.0
15,reported_total_profit,10,173966664.16934744,14.442369747446797,173966659.283471,173966642.3440727,173966687.3517105
15,revenue,10,272126430.0,0.0,272126430.0,272126430.0,272126430.0
15,facility_fixed_cost,10,16748517.096774194,1.8198569573669814,16748517.204301074,16748513.978494624,16748519.784946237
15,inventory_cost,10,3979098.7951752446,0.011418046523616537,3979098.795188954,3979098.774836646,3979098.8112490587
15,supplier_dc_transport_cost,10,47399372.961530656,26.601533593618775,47399374.455875784,47399327.39783381,47399413.3098444
15,dc_market_transport_cost,10,30061619.28754771,22.919789367666343,30061628.412071753,30061574.19475146,30061641.125090953
15,total_transport_cost,10,77460992.24907836,44.9194142566463,77460994.47484007,77460918.13944039,77461054.43493535
15,investment_cost,10,43.37539685311745,37.58335953132821,40.02504083502433,0.3105687756386175,125.94742369327865
15,carbon_trading_cost,10,155.29083050153676,46.65926914611384,157.30155215780724,78.04257439370485,220.18093330054035
15,total_emission,10,14520.488301294658,23.32963457305692,14521.493662122793,14481.864173240741,14552.93335269416
15,facility_emission,10,658.5483870967741,0.909928478479287,658.6021505376344,656.989247311828,659.8924731182796
15,inventory_emission,10,3.795570516334735,0.005709013719387033,3.7955773713397054,3.7854012336432543,3.803607409941096
15,supplier_dc_transport_emission,10,8478.586274828021,13.300766794515626,8479.33344739398,8455.804426408817,8498.76043169225
15,dc_market_transport_emission,10,5379.558068853527,11.459894682909145,5384.1203308749255,5357.011670730979,5390.476840473689
15,num_open_dcs,10,6.0,0.0,6.0,6.0,6.0
15,num_served_markets,10,12.0,0.0,12.0,12.0,12.0
15,mean_w_open_dcs,10,0.00219941348973607,0.0013786795128474098,0.0021179537308569567,0.00016291951775822744,0.004561746497230367
15,demand_weighted_mean_w,10,0.002192360827762935,0.001686105707588006,0.00195781036509975,6.172878827749405e-05,0.005161064443862306
15,wall_time_sec,10,0.6209265626,0.04181378201358443,0.626517984,0.533698599,0.671768068
15,actual_bp_calls,10,268.7,8.219894565422763,267.5,256.0,283.0
15,fitness_cache_hits,10,61.3,8.219894565422763,62.5,47.0,74.0
15,cache_hit_rate,10,0.22916689085851832,0.03748054125224026,0.23364916988093243,0.16607773851590105,0.2890625
15,ga_generations,10,11.0,0.0,11.0,11.0,11.0
15,cg_iterations,10,1388.0,50.499724971748336,1391.0,1312.0,1467.0
15,branch_nodes,10,0.0,0.0,0.0,0.0,0.0
20,reported_total_profit,10,173345984.22842762,15.168244953655638,173345979.7999413,173345967.30347526,173346010.15110466
20,revenue,10,272126430.0,0.0,272126430.0,272126430.0,272126430.0
20,facility_fixed_cost,10,16748517.935483871,1.4522101522219146,16748518.17204301,16748514.838709677,16748519.784946237
20,inventory_cost,10,3979098.7993647875,0.009113608652954545,3979098.8004760314,3979098.783836568,3979098.810025918
20,supplier_dc_transport_cost,10,47399388.15144794,19.84781177120186,47399390.141741686,47399348.30968612,47399412.77929328
20,dc_market_transport_cost,10,30682299.247495968,23.174768060973392,30682308.985205933,30682258.97611397,30682319.14587309
20,total_transport_cost,10,78081687.3989439,38.39601668148796,78081695.85159808,78081627.18418245,78081726.57031363
20,investment_cost,10,27.32355191187544,25.08235931615175,23.466695464674455,0.7768365815673424,66.14667656158673
20,carbon_trading_cost,10,394.4335952497182,39.635313208275434,402.4771985133557,331.10653141016155,435.4650884523944
20,total_emission,10,14640.059683668747,19.817656604137717,14644.081485300567,14608.39615174897,14660.575430270086
20,facility_emission,10,658.9677419354839,0.7261050759627539,659.0860215053763,657.4193548387096,659.8924731182796
20,inventory_emission,10,3.797665284181319,0.0045567966092033355,3.7982209052525135,3.7899011877731725,3.8029958403056554
20,supplier_dc_transport_emission,10,8486.181233468064,9.923905884510598,8487.176380341834,8466.260352558025,8498.495156136974
20,dc_market_transport_emission,10,5491.113042981019,11.587384030235649,5495.981897962458,5470.97735198295,5501.062231540463
20,num_open_dcs,10,6.0,0.0,6.0,6.0,6.0
20,num_served_markets,10,12.0,0.0,12.0,12.0,12.0
20,mean_w_open_dcs,10,0.0015640273704789834,0.0011001592060041793,0.001384815900944933,0.00016291951775822744,0.0039100684261974585
20,demand_weighted_mean_w,10,0.001778730351370058,0.0014463092564355468,0.0013878360536763302,0.00038621710937810765,0.004186497697289398
20,wall_time_sec,10,0.641939917,0.02082097872995334,0.6390813055,0.606922298,0.674201447
20,actual_bp_calls,10,270.9,6.2084172253839744,272.5,258.0,278.0
20,fitness_cache_hits,10,59.1,6.2084172253839744,57.5,52.0,72.0
20,cache_hit_rate,10,0.2187509795430549,0.028576837343474524,0.21101325145442792,0.18705035971223022,0.27906976744186046
20,ga_generations,10,11.0,0.0,11.0,11.0,11.0
20,cg_iterations,10,1446.8,61.46507590132429,1443.0,1349.0,1539.0
20,branch_nodes,10,0.0,0.0,0.0,0.0,0.0
