sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
gamma,0.7,10x30,DELTA_03000_GAMMA_070,202,3000,0.7,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2213157.65691511,338076.311616762,8572.15895105575,8572.15895105575,0,238076.311616762,0,476152.623233523,7,0;1;2;3;5;6;9,0;0.000977517106549365;0.0625610948191593;0.0175953079178886;0.822091886608016;0.0557184750733138;0.0420332355816227;0.110459433040078;0;0.032258064516129,10,10,VALID_EXACT_LENGTH,result.csv:best_w,8,0.1429618768328446,0.11436950146627568,0.03016338500209468,0.822091886608016,0.000977517106549365,16,390,0.1875,9958,20,28.99121986,28.99121986,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.9,10x30,DELTA_03000_GAMMA_090,202,3000,0.9,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2202529.00950095,347181.756523549,962.307526612631,962.307526612631,0,247181.756523549,0,494363.513047099,7,0;1;2;3;5;6;9,0;0.00879765395894428;0;0;0;0;0;0.00195503421309873;0;0.00391006842619746,10,10,VALID_EXACT_LENGTH,result.csv:best_w,3,0.004887585532746824,0.0014662756598240471,0.001815388912163106,0.00879765395894428,0.00195503421309873,11,268,0.18787878787878787,5324,1,24.907000587,24.907000587,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.1,10x30,DELTA_03000_GAMMA_010,303,3000,0.1,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2928759.34523465,12362.2193311286,31717.1985101383,31717.1985101383,0,0,87637.7806688714,-175275.561337743,9,0;1;2;3;4;5;6;8;9,0.953079178885631;0.975562072336266;1;0.963831867057674;0.940371456500489;0.995112414467253;0.992179863147605;0.530791788856305;0.998044965786901;0.957966764418377,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.9306940371456501,0.9306940371456501,0.9751276202889106,1.0,0.530791788856305,50,1236,0.176,21156,201,33.450202183,33.450202183,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.3,10x30,DELTA_03000_GAMMA_030,303,3000,0.3,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2766955.4671586,12650.9651364665,192943.261838754,192943.261838754,0,0,87349.0348635335,-174698.069727067,9,0;1;2;3;4;5;6;8;9,0.980449657869013;0.983382209188661;0.979472140762463;0.909090909090909;0.994134897360704;0.988269794721408;0.989247311827957;0.545454545454545;0.936461388074291;0.966764418377322,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.9272727272727272,0.9272727272727272,0.9696969696969697,0.994134897360704,0.545454545454545,45,1087,0.1948148148148148,19889,320,31.011199563,31.011199563,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.4,10x30,DELTA_03000_GAMMA_040,303,3000,0.4,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2495368.82606174,35016.583336567,383522.211575868,383522.211575868,0,0,64983.416663433,-129966.833326866,8,0;1;2;3;4;5;8;9,0.844574780058651;0.977517106549365;0.996089931573803;0.347018572825024;0.926686217008798;0.93841642228739;0.404692082111437;0.579667644183773;0.871945259042033;0.974584555229717,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.7861192570869991,0.7861192570869991,0.8596041055718476,0.996089931573803,0.347018572825024,31,783,0.15806451612903225,13184,140,22.266794887,22.266794887,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.6,10x30,DELTA_03000_GAMMA_060,303,3000,0.6,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2152651.23003784,355882.201505168,56530.3461210855,56530.3461210855,0,255882.201505168,0,511764.403010335,9,0;1;2;3;4;5;6;8;9,0.189638318670577;0.156402737047898;0.101661779081134;0.132942326490714;0.140762463343109;0.132942326490714;0.0742913000977517;0.98533724340176;0.144672531769306;0.105571847507331,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.21642228739002947,0.21642228739002947,0.13098729227761496,0.98533724340176,0.0742913000977517,35,870,0.17142857142857143,12857,111,24.193244464,24.193244464,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.7,10x30,DELTA_03000_GAMMA_070,303,3000,0.7,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2118119.98649123,390852.831295931,21021.1223603558,21021.1223603558,0,290852.831295931,0,581705.662591861,9,0;1;2;3;4;5;6;8;9,0.0459433040078201;0.0703812316715543;0.0469208211143695;0.0391006842619746;0.0625610948191593;0.0625610948191593;0.00195503421309873;0.0312805474095797;0.0547409579667644;0.0254154447702835,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.04408602150537634,0.04408602150537634,0.045508851960464856,0.0703812316715543,0.00195503421309873,35,863,0.17809523809523808,12798,79,21.344841315,21.344841315,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.9,10x30,DELTA_03000_GAMMA_090,303,3000,0.9,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2098092.5600202,411162.458709795,371.553868120264,371.553868120264,0,311162.458709795,0,622324.917419591,9,0;1;2;3;4;5;6;8;9,0.00391006842619746;0.000977517106549365;0;0.00782013685239492;0;0;0;0;0;0.00195503421309873,10,10,VALID_EXACT_LENGTH,result.csv:best_w,4,0.003665689149560119,0.0014662756598240476,0.001629195177582275,0.00782013685239492,0.000977517106549365,11,278,0.15757575757575756,3902,15,13.87613546,13.87613546,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.1,10x30,DELTA_03000_GAMMA_010,404,3000,0.1,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2596522.38627523,8084.00983684877,29381.5635361417,29381.5635361417,0,0,91915.9901631512,-183831.980326302,8,0;2;4;5;6;7;8;9,0.982404692082111;0.929618768328446;0.972629521016618;0.241446725317693;0.976539589442815;0.983382209188661;0.979472140762463;1;0.996089931573803;1,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.906158357771261,0.906158357771261,0.9863147605083089,1.0,0.241446725317693,50,1202,0.19866666666666666,25906,469,36.061451367,36.061451367,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.3,10x30,DELTA_03000_GAMMA_030,404,3000,0.3,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2395948.58690021,23795.5944726,146726.964243546,146726.964243546,0,0,76204.4055274,-152408.8110548,7,0;2;4;5;7;8;9,0.867057673509286;0.35386119257087;0.986314760508309;0.772238514173998;0.718475073313783;0.996089931573803;0.0977517106549365;0.995112414467253;0.812316715542522;0.981427174975562,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.7580645161290323,0.7580645161290323,0.9081133919843597,0.996089931573803,0.0977517106549365,25,588,0.216,12873,162,17.353399695,17.353399695,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
