sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
gamma,0.6,10x30,DELTA_03000_GAMMA_060,101,3000,0.6,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2270390.41224872,323954.464075531,42947.8738449352,42947.8738449352,0,223954.464075531,0,447908.928151062,7,0;2;3;4;5;6;7,0.125122189638319;0.809384164222874;0.0625610948191593;0.119257086999022;0.0840664711632454;0.0869990224828935;0.0332355816226784;0.180840664711632;0.175953079178886;0.835777126099707,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.25131964809384166,0.25131964809384166,0.09886887306242137,0.835777126099707,0.0332355816226784,13,321,0.17692307692307693,10258,48,27.74230157,27.74230157,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.7,10x30,DELTA_03000_GAMMA_070,101,3000,0.7,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2232858.88322458,359190.079646201,9926.80163264562,9926.80163264562,0,259190.079646201,0,518380.159292402,7,0;2;3;4;5;6;7,0.0782013685239492;0.797653958944281;0.00782013685239492;0.0625610948191593;0.00586510263929619;0;0.0742913000977517;0.021505376344086;0.629521016617791;0.877810361681329,10,10,VALID_EXACT_LENGTH,result.csv:best_w,9,0.2839144129466709,0.2555229716520038,0.03574919703951961,0.877810361681329,0.00586510263929619,12,294,0.18333333333333332,9333,0,21.975122341,21.975122341,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.9,10x30,DELTA_03000_GAMMA_090,101,3000,0.9,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2223286.06245517,368432.198981702,988.031033544368,988.031033544368,0,268432.198981702,0,536864.397963404,7,0;2;3;4;5;6;7,0;0;0;0.00782013685239492;0.00782013685239492;0.000977517106549365;0;0.00391006842619746;0;0,10,10,VALID_EXACT_LENGTH,result.csv:best_w,4,0.005131964809384167,0.0020527859237536666,0.002932551319648095,0.00782013685239492,0.000977517106549365,11,259,0.21515151515151515,6851,2,20.952268765,20.952268765,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,00500,10x30,DELTA_00500_GAMMA_050,202,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2777274.13697337,9072.06597433072,178773.709395793,178773.709395793,0,0,90927.9340256693,-181855.868051339,8,0;1;2;5;6;7;8;9,0.999022482893451;0.976539589442815;0.970674486803519;0.856304985337243;0.868035190615836;0.989247311827957;0.948191593352884;0.952101661779081;0.977517106549365;0.993157380254154,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.9530791788856305,0.9530791788856305,0.9758064516129032,0.999022482893451,0.856304985337243,21,513,0.18571428571428572,11001,0,16.398650121,16.398650121,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,202,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2607402.81832896,22718.0534448576,302755.011791315,302755.011791315,0,0,77281.9465551424,-154563.893110285,7,0;1;2;5;6;7;9,0.811339198435973;0.973607038123167;0.90811339198436;0.468230694037146;0.913000977517107;0.551319648093842;0.949169110459433;0.964809384164223;0.957966764418377;0.998044965786901,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8495601173020529,0.8495601173020529,0.879486105292557,0.998044965786901,0.468230694037146,32,769,0.19895833333333332,18281,0,28.99041327,28.99041327,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,02000,10x30,DELTA_02000_GAMMA_050,202,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2414268.24376786,148223.77146013,237443.170735672,237443.170735672,0,48223.77146013,0,96447.54292026,7,0;1;2;3;5;6;9,0.27761485826002;0.43010752688172;0.544477028347996;0.520039100684262;0.250244379276637;0.348973607038123;0.497556207233627;0.911045943304008;0.00977517106549365;0.874877810361681,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.46647116324535676,0.46647116324535676,0.4990923055439184,0.911045943304008,0.00977517106549365,21,512,0.1873015873015873,12169,1,17.176814637,17.176814637,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,03000,10x30,DELTA_03000_GAMMA_050,202,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2327946.4924759,254617.873913696,111669.137440366,111669.137440366,0,154617.873913696,0,309235.747827392,7,0;1;2;5;6;7;9,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.3717497556207234,0.3717497556207234,0.29074151654796826,0.794721407624633,0.171065493646139,17,409,0.1980392156862745,9070,0,14.046026768,14.046026768,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,05000,10x30,DELTA_05000_GAMMA_050,202,5000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2271774.76960341,278079.633925423,70962.4706710447,70962.4706710447,0,178079.633925423,0,356159.267850847,7,0;1;2;5;6;7;9,0.0146627565982405;0.171065493646139;0.202346041055718;0.423264907135875;0.684261974584555;0.152492668621701;0.250244379276637;0.188660801564027;0.0439882697947214;0.249266862170088,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.23802541544477018,0.23802541544477018,0.17553414327607864,0.684261974584555,0.0146627565982405,23,559,0.18985507246376812,12625,1,18.415204364,18.415204364,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,10000,10x30,DELTA_10000_GAMMA_050,202,10000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2234328.77988917,314560.55014213,35352.2068331941,35352.2068331941,0,214560.55014213,0,429121.100284261,7,0;1;2;5;6;7;9,0.0674486803519062;0.125122189638319;0.0664711632453568;0.78396871945259;0;0.0703812316715543;0.130987292277615;0.0185728250244379;0.06158357771261;0.119257086999022,10,10,VALID_EXACT_LENGTH,result.csv:best_w,9,0.16042141848593458,0.14437927663734113,0.0854629241726016,0.78396871945259,0.0185728250244379,29,704,0.19080459770114944,16125,3,25.652187835,25.652187835,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,15000,10x30,DELTA_15000_GAMMA_050,202,15000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2216569.97115782,330731.667581939,19869.6503705076,19869.6503705076,0,230731.667581939,0,461463.335163878,7,0;1;2;3;5;6;9,0.093841642228739;0.00684261974584555;0;0.0782013685239492;0.473118279569892;0.0625610948191593;0.0371456500488759;0.126099706744868;0.0625610948191593;0.093841642228739,10,10,VALID_EXACT_LENGTH,result.csv:best_w,9,0.11491256652546969,0.10342130987292272,0.053204859656472564,0.473118279569892,0.00684261974584555,15,354,0.21333333333333335,8912,11,20.057654824,20.057654824,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
