order_id,size_id,scenario_id,random_seed,delta,gamma,status,validation_status,completion_marker,output_directory,unique_key
20,10x30,DELTA_15000_GAMMA_050,202,15000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_15000_GAMMA_050,10x30|202|DELTA_15000_GAMMA_050
21,10x30,DELTA_03000_GAMMA_010,202,3000,0.1,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_03000_GAMMA_010,10x30|202|DELTA_03000_GAMMA_010
22,10x30,DELTA_03000_GAMMA_030,202,3000,0.3,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_03000_GAMMA_030,10x30|202|DELTA_03000_GAMMA_030
23,10x30,DELTA_03000_GAMMA_040,202,3000,0.4,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_03000_GAMMA_040,10x30|202|DELTA_03000_GAMMA_040
24,10x30,DELTA_03000_GAMMA_060,202,3000,0.6,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_03000_GAMMA_060,10x30|202|DELTA_03000_GAMMA_060
25,10x30,DELTA_03000_GAMMA_070,202,3000,0.7,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_03000_GAMMA_070,10x30|202|DELTA_03000_GAMMA_070
26,10x30,DELTA_03000_GAMMA_090,202,3000,0.9,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_202/DELTA_03000_GAMMA_090,10x30|202|DELTA_03000_GAMMA_090
27,10x30,DELTA_00500_GAMMA_050,303,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_00500_GAMMA_050,10x30|303|DELTA_00500_GAMMA_050
28,10x30,DELTA_01000_GAMMA_050,303,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_01000_GAMMA_050,10x30|303|DELTA_01000_GAMMA_050
29,10x30,DELTA_02000_GAMMA_050,303,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_02000_GAMMA_050,10x30|303|DELTA_02000_GAMMA_050
30,10x30,DELTA_03000_GAMMA_050,303,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_03000_GAMMA_050,10x30|303|DELTA_03000_GAMMA_050
31,10x30,DELTA_05000_GAMMA_050,303,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_05000_GAMMA_050,10x30|303|DELTA_05000_GAMMA_050
32,10x30,DELTA_10000_GAMMA_050,303,10000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_10000_GAMMA_050,10x30|303|DELTA_10000_GAMMA_050
33,10x30,DELTA_15000_GAMMA_050,303,15000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_15000_GAMMA_050,10x30|303|DELTA_15000_GAMMA_050
34,10x30,DELTA_03000_GAMMA_010,303,3000,0.1,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_03000_GAMMA_010,10x30|303|DELTA_03000_GAMMA_010
35,10x30,DELTA_03000_GAMMA_030,303,3000,0.3,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_03000_GAMMA_030,10x30|303|DELTA_03000_GAMMA_030
36,10x30,DELTA_03000_GAMMA_040,303,3000,0.4,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_03000_GAMMA_040,10x30|303|DELTA_03000_GAMMA_040
37,10x30,DELTA_03000_GAMMA_060,303,3000,0.6,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_03000_GAMMA_060,10x30|303|DELTA_03000_GAMMA_060
38,10x30,DELTA_03000_GAMMA_070,303,3000,0.7,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_03000_GAMMA_070,10x30|303|DELTA_03000_GAMMA_070
39,10x30,DELTA_03000_GAMMA_090,303,3000,0.9,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_303/DELTA_03000_GAMMA_090,10x30|303|DELTA_03000_GAMMA_090
40,10x30,DELTA_00500_GAMMA_050,404,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_00500_GAMMA_050,10x30|404|DELTA_00500_GAMMA_050
41,10x30,DELTA_01000_GAMMA_050,404,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_01000_GAMMA_050,10x30|404|DELTA_01000_GAMMA_050
42,10x30,DELTA_02000_GAMMA_050,404,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_02000_GAMMA_050,10x30|404|DELTA_02000_GAMMA_050
43,10x30,DELTA_03000_GAMMA_050,404,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_03000_GAMMA_050,10x30|404|DELTA_03000_GAMMA_050
44,10x30,DELTA_05000_GAMMA_050,404,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_05000_GAMMA_050,10x30|404|DELTA_05000_GAMMA_050
45,10x30,DELTA_10000_GAMMA_050,404,10000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_10000_GAMMA_050,10x30|404|DELTA_10000_GAMMA_050
46,10x30,DELTA_15000_GAMMA_050,404,15000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_15000_GAMMA_050,10x30|404|DELTA_15000_GAMMA_050
47,10x30,DELTA_03000_GAMMA_010,404,3000,0.1,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_404/DELTA_03000_GAMMA_010,10x30|404|DELTA_03000_GAMMA_010
