level,n,completion_rate,mean_total_profit,sample_sd_total_profit,mean_carbon_emission,sample_sd_carbon_emission,mean_total_investment_cost,sample_sd_total_investment_cost,mean_net_carbon_trading_cost,sample_sd_net_carbon_trading_cost,mean_num_dc_open,sample_sd_num_dc_open,mean_positive_w_count,sample_sd_positive_w_count,mean_mean_positive_w,sample_sd_mean_positive_w,mean_mean_all_candidate_w,sample_sd_mean_all_candidate_w,mean_mean_open_dc_w,sample_sd_mean_open_dc_w,mean_max_w,sample_sd_max_w,mean_wall_time_sec,sample_sd_wall_time_sec,mean_cache_hit_rate,sample_sd_cache_hit_rate,min_profit,max_profit,min_emission,max_emission
0.1,10,1.0,2956452.385712048,227406.00295742805,10052.271395791291,2925.555287876361,28170.1654603856,4667.713704473421,-179895.4572084174,5851.110575752697,8.0,1.4142135623730951,10.0,0.0,0.905405669599218,0.04664968295328466,0.905405669599218,0.04664968295328466,0.9722707101739361,0.013666119420436103,0.9964809384164223,0.0044006368240169375,32.2291537744,5.177414352079704,0.19686696158524114,0.019154543928885468,2590452.78359494,3236555.71510055,4365.49496285541,14006.5999444249
0.3,10,1.0,2804155.463723682,242306.23530023318,15271.003642286192,6183.973115281897,157013.724632148,26835.973973729404,-169457.9927154277,12367.9462305637,7.5,1.35400640077266,10.0,0.0,0.8394623655913979,0.08593389213545356,0.8394623655913979,0.08593389213545356,0.9322733479185092,0.038352190112293266,0.9962854349951125,0.001998007131542139,29.4706041659,10.212477647677373,0.19877367724867726,0.018128044524026964,2395948.58690021,3125732.50552621,7031.48994321142,23795.5944726
0.4,10,1.0,2582160.021060645,247899.3518708093,48306.00441504078,14460.973067116607,298396.1977460844,53247.3198590169,-103387.99116991844,28921.946134233196,7.1,1.3703203194062976,10.0,0.0,0.6946432062561095,0.058255532712548234,0.6946432062561095,0.058255532712548234,0.7670238871045323,0.06007688547312593,0.9855327468230696,0.022266038297567934,22.9607352867,9.237867175566427,0.17612896336614253,0.022080433571219683,2177049.54549519,2959889.87789031,29259.0737448009,67468.0383530208
0.5,10,1.0,2306991.523806717,281049.5149001897,238338.8618283818,31545.277483652484,196745.6765817433,60193.01422418528,276677.7236567638,63090.55496730484,7.5,1.35400640077266,10.0,0.0,0.40671554252199416,0.051794429545973984,0.40671554252199416,0.051794429545973984,0.34875211407469475,0.05309593996745085,0.8552297165200391,0.08328161462412995,20.8552210767,10.97013630465386,0.17602128196737543,0.027165095196433457,1775776.82330118,2732061.90909456,175760.547125795,280477.380094308
0.6,10,1.0,2196203.868642306,303268.8400662778,348687.3014311521,45887.51013637359,75349.07696910122,27142.632765984326,497374.60286230396,91775.02027274677,8.0,1.4907119849998598,9.9,0.31622776601683794,0.18714130552840233,0.05611072876515917,0.18549364613880748,0.0570744104279124,0.13548961194122486,0.021223932982863646,0.5303030303030305,0.2854923645425549,29.0193253313,10.247787286168858,0.18161060861010925,0.016154086398566202,1600942.08853313,2634849.88965537,271988.116241285,416749.108431086
0.7,10,1.0,2153899.901771447,309942.7054238389,395456.7465813933,53568.48911029152,23695.973930393517,10583.282027278496,590913.4931627867,107136.97822058319,8.1,1.5238839267549948,9.1,1.1005049346146119,0.10671949913885401,0.09169763072886342,0.09133919843597266,0.07282860639238858,0.04384148706729354,0.01171985817394772,0.37174975562072354,0.3568075955002744,29.377739524,17.886782014945272,0.18080211396981263,0.018393508086689988,1543057.08942809,2602274.40188853,306931.005361539,479204.45530243
0.9,10,1.0,2137996.649871613,314416.0515460411,408026.13132224383,50410.505833344345,1317.9623367409695,776.7392607209796,616052.2626444875,100821.01166668846,8.2,1.3165611772087666,4.5,1.1785113019775793,0.048584229390680994,0.0712958236231626,0.02354838709677419,0.03453999672537582,0.0026199010069977813,0.001075935516153311,0.21798631476050823,0.3380048794863356,20.8138430264,15.392989813615813,0.18151515151515152,0.035582232875387775,1517482.88810585,2592063.27630406,327306.718399838,501119.658196676
