level,n,completion_rate,mean_profit,sample_sd_profit,min_profit,max_profit,mean_emission,sample_sd_emission,mean_investment_cost,mean_net_carbon_cost,mean_open_dc,mean_positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,mean_max_w,mean_wall_time_sec,mean_cache_hit_rate
0.1,10,1.0,2956452.385712048,227406.00295742805,2590452.78359494,3236555.71510055,10052.271395791291,2925.555287876361,28170.1654603856,-179895.4572084174,8.0,nan,nan,nan,nan,nan,32.229,0.19686696158524114
0.3,10,1.0,2804155.463723682,242306.23530023318,2395948.58690021,3125732.50552621,15271.003642286192,6183.973115281897,157013.724632148,-169457.9927154277,7.5,nan,nan,nan,nan,nan,29.471,0.19877367724867726
0.4,10,1.0,2582160.021060645,247899.3518708093,2177049.54549519,2959889.87789031,48306.00441504078,14460.973067116607,298396.1977460844,-103387.99116991844,7.1,nan,nan,nan,nan,nan,22.963,0.17612896336614253
0.6,10,1.0,2196203.868642306,303268.8400662778,1600942.08853313,2634849.88965537,348687.3014311521,45887.51013637359,75349.07696910122,497374.60286230396,8.0,nan,nan,nan,nan,nan,29.019,0.18161060861010925
0.7,10,1.0,2153899.901771447,309942.7054238389,1543057.08942809,2602274.40188853,395456.7465813933,53568.48911029152,23695.973930393517,590913.4931627867,8.1,nan,nan,nan,nan,nan,29.38,0.18080211396981263
0.9,10,1.0,2137996.649871613,314416.0515460411,1517482.88810585,2592063.27630406,408026.13132224383,50410.505833344345,1317.9623367409695,616052.2626444875,8.2,nan,nan,nan,nan,nan,20.815,0.18151515151515152
3000.0,10,1.0,2306991.523806717,281049.5149001897,1775776.82330118,2732061.90909456,238338.8618283818,31545.277483652484,196745.6765817433,276677.7236567638,7.5,nan,nan,nan,nan,nan,20.856,0.17602128196737543
