parameter_level,mean_profit,sample_sd_profit,mean_emission,sample_sd_emission,mean_investment_cost,mean_net_carbon_cost,mean_all_candidate_w,mean_open_dc_w,mean_open_dc,network_change_count_vs_baseline,completion_rate
0.5,2306991.523806717,281049.5149001897,238338.8618283818,31545.277483652484,196745.6765817433,276677.7236567638,0.40671554252199416,0.34875211407469475,7.5,0,1.0
500.0,2793996.978636941,230346.28151184335,14444.074222890587,10058.162387444301,173837.8014233471,-171111.851554219,0.8615151515151515,0.9510789539015345,7.7,6,1.0
1000.0,2630254.296701994,237972.8724920483,28655.20014652358,12728.747501110865,297061.559166004,-142689.59970695287,0.7550537634408603,0.8494753991528186,7.2,4,1.0
2000.0,2403876.382577698,261000.3258547094,139743.35438618035,31390.557506376026,289602.7363432284,79486.7087723607,0.5082502443792766,0.5389300454623035,7.2,4,1.0
5000.0,2232720.684274829,294719.6564248515,319057.2149311168,48215.89355016822,113315.91160349386,438114.4298622339,0.2493743890518084,0.21001904606743316,7.9,2,1.0
10000.0,2179970.904779494,304935.49259845674,370486.2833274873,52472.34143513651,47555.56547566371,540972.5666549751,0.13217986314760513,0.0826603593539078,8.0,2,1.0
15000.0,2162727.560898771,308043.8297074611,388432.7159960343,53158.76807846571,28489.02766136262,576865.4319920685,0.09128054740957968,0.05216725628015953,8.0,3,1.0
