random_seed,scenario_id,level,profit_change_absolute,profit_change_percent,emissions_change_absolute,emissions_change_percent,investment_cost_change_absolute,investment_cost_change_percent,carbon_trading_net_cost_change,open_dc_count_change,network_structure_changed,positive_w_count_change,mean_positive_w_change,mean_all_candidate_w_change,mean_open_dc_w_change,max_w_change
101,DELTA_03000_GAMMA_010,0.1,567996.4504752601,23.955457959800015,-202229.2242553701,-93.52253494708478,-137167.6870755466,-85.44039677038911,-404458.448510741,0.0,True,0.0,0.42502443792766376,0.42502443792766376,0.6426476749057394,0.13685239491691104
101,DELTA_03000_GAMMA_030,0.3,438342.54652087996,18.48725715871352,-197988.9606302034,-91.56159085243337,-31096.62198825099,-19.36977853560839,-395977.921260408,-1.0,True,0.0,0.4266862170087977,0.4266862170087977,0.6247730763859798,0.135874877810362
101,DELTA_03000_GAMMA_040,0.4,261055.42176682036,11.010107855568924,-173603.7885848869,-80.28447146874356,68129.735991283,42.43733928203574,-347207.57716977503,-2.0,True,0.0,0.21564027370478978,0.21564027370478978,0.40698226504678103,0.13489736070381197
101,DELTA_03000_GAMMA_060,0.6,-100661.94428907987,-4.245454302665252,107718.639875736,49.815353341362815,-117594.08553309579,-73.24819379847914,215437.27975147098,0.0,False,0.0,-0.17468230694037146,-0.17468230694037146,-0.19913419913419922,-0.024437927663733983
101,DELTA_03000_GAMMA_070,0.7,-138193.47331321985,-5.828360260884722,142954.255446406,66.1103477998728,-150615.15774538537,-93.81669336097312,285908.510892811,0.0,False,-1.0,-0.1420875420875422,-0.1704789833822093,-0.26225387515710097,0.017595307917887992
101,DELTA_03000_GAMMA_090,0.9,-147766.29408262996,-6.232097476683208,152196.37478190698,70.38444038823205,-159553.92834448663,-99.38456523305672,304392.749563813,0.0,False,-6.0,-0.42086999022482896,-0.42394916911045943,-0.2950705208769725,-0.8523949169110461
202,DELTA_03000_GAMMA_010,0.1,602800.8553053602,25.894102688943168,-244724.63690914598,-96.11447662629396,-83886.0188380993,-75.12014578145771,-489449.273818292,1.0,True,0.0,0.5154447702834799,0.5154447702834799,0.6748010054461666,0.20430107526881802
202,DELTA_03000_GAMMA_030,0.3,456031.44073439017,19.589429662937636,-239470.0954221593,-94.0507796021142,46727.070714075,41.84421209398916,-478940.190844319,1.0,True,0.0,0.4769305962854348,0.4769305962854348,0.630812735651445,0.2033235581622681
202,DELTA_03000_GAMMA_040,0.4,231934.11335297022,9.963034550089485,-192921.4615140974,-75.76901752761046,154191.174758643,138.07859386483108,-385842.9230281947,0.0,False,0.0,0.3132942326490716,0.3132942326490716,0.46166736489317145,0.16911045943304104
202,DELTA_03000_GAMMA_060,0.6,-87498.83900986984,-3.7586275841250107,29271.477006169996,11.496238090532367,-21870.073442421504,-19.584707058474997,58542.95401233999,0.0,True,0.0,-0.1643206256109482,-0.1643206256109482,-0.12917190336545187,-0.25904203323558095
202,DELTA_03000_GAMMA_070,0.7,-114788.8355607898,-4.930905239093598,83458.43770306601,32.77791791292494,-103096.97848931025,-92.32360959568307,166916.87540613097,0.0,True,-2.0,-0.2287878787878788,-0.2573802541544477,-0.26057813154587356,0.027370478983383073
202,DELTA_03000_GAMMA_090,0.9,-125417.48297494976,-5.38747275250134,92563.88260985297,36.35403956017163,-110706.82991375338,-99.13825113306126,185127.76521970698,0.0,True,-7.0,-0.36686217008797656,-0.37028347996089933,-0.28892612763580516,-0.7859237536656887
303,DELTA_03000_GAMMA_010,0.1,694192.30106655,31.066076217238255,-230569.89885251538,-94.91124540321859,-213712.5555922277,-87.07687312561565,-461139.797705031,0.0,False,0.0,0.4872922776148583,0.4872922776148583,0.5842293906810037,0.08406647116324495
303,DELTA_03000_GAMMA_030,0.3,532388.4229905,23.825126410055923,-230281.1530471775,-94.79238676587711,-52486.49226361199,-21.38554571574906,-460562.30609435495,0.0,False,0.0,0.48387096774193544,0.48387096774193544,0.5787987400890627,0.07820136852394899
