sensitivity_dimension,sensitivity_level,size_id,scenario_id,random_seed,delta,investment_exponent,outer_method,outer_solution_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,total_investment_cost,investment_recomputed,investment_abs_diff,e_plus,e_minus,net_carbon_trading_cost,num_dc_open,open_dc_set,w_vector_candidate_dc,w_vector_length,w_vector_expected_length,w_vector_normalization_status,w_vector_raw_source,positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,wall_time_sec,user_time_sec,system_time_sec,algorithm_commit,formal_tag,config_sha256,instance_fingerprint
gamma,0.5,10x30,DELTA_03000_GAMMA_050,202,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2327946.4924759,254617.873913696,111669.137440366,111669.137440366,0,154617.873913696,0,309235.747827392,7,0;1;2;5;6;7;9,0.27663734115347;0.171065493646139;0.224828934506354;0.484848484848485;0.794721407624633;0.21603128054741;0.372434017595308;0.309872922776149;0.402737047898338;0.464320625610948,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.3717497556207234,0.3717497556207234,0.29074151654796826,0.794721407624633,0.171065493646139,17,409,0.1980392156862745,9070,0,14.046026768,14.046026768,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,05000,10x30,DELTA_05000_GAMMA_050,202,5000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2271774.76960341,278079.633925423,70962.4706710447,70962.4706710447,0,178079.633925423,0,356159.267850847,7,0;1;2;5;6;7;9,0.0146627565982405;0.171065493646139;0.202346041055718;0.423264907135875;0.684261974584555;0.152492668621701;0.250244379276637;0.188660801564027;0.0439882697947214;0.249266862170088,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.23802541544477018,0.23802541544477018,0.17553414327607864,0.684261974584555,0.0146627565982405,23,559,0.18985507246376812,12625,1,18.415204364,18.415204364,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,10000,10x30,DELTA_10000_GAMMA_050,202,10000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2234328.77988917,314560.55014213,35352.2068331941,35352.2068331941,0,214560.55014213,0,429121.100284261,7,0;1;2;5;6;7;9,0.0674486803519062;0.125122189638319;0.0664711632453568;0.78396871945259;0;0.0703812316715543;0.130987292277615;0.0185728250244379;0.06158357771261;0.119257086999022,10,10,VALID_EXACT_LENGTH,result.csv:best_w,9,0.16042141848593458,0.14437927663734113,0.0854629241726016,0.78396871945259,0.0185728250244379,29,704,0.19080459770114944,16125,3,25.652187835,25.652187835,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,15000,10x30,DELTA_15000_GAMMA_050,202,15000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2216569.97115782,330731.667581939,19869.6503705076,19869.6503705076,0,230731.667581939,0,461463.335163878,7,0;1;2;3;5;6;9,0.093841642228739;0.00684261974584555;0;0.0782013685239492;0.473118279569892;0.0625610948191593;0.0371456500488759;0.126099706744868;0.0625610948191593;0.093841642228739,10,10,VALID_EXACT_LENGTH,result.csv:best_w,9,0.11491256652546969,0.10342130987292272,0.053204859656472564,0.473118279569892,0.00684261974584555,15,354,0.21333333333333335,8912,11,20.057654824,20.057654824,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,00500,10x30,DELTA_00500_GAMMA_050,303,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2706151.70985679,40133.2334408255,160743.06740747,160743.06740747,0,0,59866.7665591745,-119733.533118349,8,0;1;2;4;5;6;8;9,0.822091886608016;0.887585532746823;0.978494623655914;0.212121212121212;0.884652981427175;0.932551319648094;0.73802541544477;0.186705767350929;0.934506353861193;0.958944281524927,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.7535679374389053,0.7535679374389053,0.892106549364614,0.978494623655914,0.186705767350929,18,463,0.1425925925925926,8010,93,13.111713931,13.111713931,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,303,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2567384.37388222,23156.284278842,364484.804033913,364484.804033913,0,0,76843.715721158,-153687.431442316,9,0;1;2;3;4;5;6;8;9,0.983382209188661;0.961876832844575;0.994134897360704;0.996089931573803;0.957966764418377;0.971652003910068;0.434017595307918;0.136852394916911;0.779081133919844;1,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8215053763440862,0.8215053763440862,0.8975779298359945,1.0,0.136852394916911,40,990,0.175,14473,32,27.019625747,27.019625747,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,02000,10x30,DELTA_02000_GAMMA_050,303,2000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2323513.26482852,189047.719495293,272529.564360814,272529.564360814,0,89047.7194952929,0,178095.438990586,9,0;1;2;3;4;5;6;8;9,0.418377321603128;0.606060606060606;0.625610948191593;0.418377321603128;0.650048875855327;0.648093841642229;0.179863147605083;0.504398826979472;0.296187683284457;0.770283479960899,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.5117302052785923,0.5117302052785923,0.5125448028673834,0.770283479960899,0.179863147605083,18,464,0.14074074074074075,6278,5,10.887291171,10.887291171,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
gamma,0.5,10x30,DELTA_03000_GAMMA_050,303,3000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2234567.0441681,242932.118183644,245429.754102366,245429.754102366,0,142932.118183644,0,285864.236367288,9,0;1;2;3;4;5;6;8;9,0.341153470185728;0.560117302052786;0.274682306940371;0.438905180840665;0.545454545454545;0.349951124144673;0.21505376344086;0.915933528836755;0.173020527859238;0.619745845552297,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.4434017595307918,0.4434017595307918,0.390898229607907,0.915933528836755,0.173020527859238,19,489,0.14210526315789473,6858,11,10.975815408,10.975815408,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,05000,10x30,DELTA_05000_GAMMA_050,303,5000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2176491.42794414,341423.835548953,113209.187369263,113209.187369263,0,241423.835548953,0,482847.671097906,9,0;1;2;3;4;5;6;8;9,0.265884652981427;0.249266862170088;0.0977517106549365;0.163245356793744;0.266862170087977;0.26197458455523;0.241446725317693;0.956989247311828;0.140762463343109;0.285434995112414,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.29296187683284464,0.29296187683284464,0.2191810578907354,0.956989247311828,0.0977517106549365,34,840,0.17647058823529413,11660,30,19.935970323,19.935970323,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,10000,10x30,DELTA_10000_GAMMA_050,303,10000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2133140.20366294,371006.624834486,45748.0935104831,45748.0935104831,0,271006.624834486,0,542013.249668971,9,0;1;2;3;4;5;6;8;9,0.0703812316715543;0.156402737047898;0.140762463343109;0.132942326490714;0.125122189638319;0.0391006842619746;0.00782013685239492;0.0234604105571848;0.0625610948191593;0.0625610948191593,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.08211143695014672,0.08211143695014672,0.08862821766047582,0.156402737047898,0.00782013685239492,22,555,0.1590909090909091,9163,79,21.392062876,21.392062876,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,15000,10x30,DELTA_15000_GAMMA_050,303,15000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2116467.22026161,394387.27758189,15596.2734059829,15596.2734059829,0,294387.27758189,0,588774.555163779,9,0;1;2;3;4;5;6;8;9,0.0146627565982405;0.00879765395894428;0.093841642228739;0.0234604105571848;0.0625610948191593;0.0703812316715543;0.00391006842619746;0.563049853372434;0.0332355816226784;0.0351906158357771,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.09090909090909091,0.09090909090909091,0.03844900619094168,0.563049853372434,0.00391006842619746,21,516,0.18095238095238095,8140,47,17.404523059,17.404523059,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,00500,10x30,DELTA_00500_GAMMA_050,404,500,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2428700.58666065,8101.06760401354,197168.864748728,197168.864748728,0,0,91898.9323959865,-183797.864791973,8,0;2;4;5;6;7;8;9,0.98435972629521;0.413489736070381;0.997067448680352;0.444770283479961;0.996089931573803;0.995112414467253;0.999022482893451;0.996089931573803;0.9227761485826;0.981427174975562,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8730205278592376,0.8730205278592376,0.9839931573802543,0.999022482893451,0.413489736070381,42,1013,0.19603174603174603,25718,873,38.233130437,38.233130437,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
delta,01000,10x30,DELTA_01000_GAMMA_050,404,1000,0.5,GA_BP,GA_BEST_FOUND,OPTIMAL,true,1,HEURISTIC_BEST_FOUND,2242683.55559482,7160.6107165207,364961.840655,364961.840655,0,0,92839.3892834793,-185678.778566959,7,0;2;4;6;7;8;9,1;0.0957966764418377;0.989247311827957;0.929618768328446;0.981427174975562;0.287390029325513;0.979472140762463;0.997067448680352;0.957966764418377;0.986314760508309,10,10,VALID_EXACT_LENGTH,result.csv:best_w,10,0.8204301075268817,0.8204301075268817,0.9844993715961458,1.0,0.0957966764418377,38,920,0.19298245614035087,18209,119,30.885251469,30.885251469,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,,
