level,n,completion_rate,mean_profit,sample_sd_profit,min_profit,max_profit,mean_emission,sample_sd_emission,mean_investment_cost,mean_net_carbon_cost,mean_open_dc,mean_positive_w_count,mean_positive_w,mean_all_candidate_w,mean_open_dc_w,mean_max_w,mean_wall_time_sec,mean_cache_hit_rate
500.0,10,1.0,2793996.978636941,230346.28151184335,2428700.58666065,3105400.16457611,14444.074222890587,10058.162387444301,173837.8014233471,-171111.851554219,7.7,nan,nan,nan,nan,nan,30.524,0.18922592592592594
1000.0,10,1.0,2630254.296701994,237972.8724920483,2242683.55559482,2981441.10118022,28655.20014652358,12728.747501110865,297061.559166004,-142689.59970695287,7.2,nan,nan,nan,nan,nan,26.783,0.1836227642971064
2000.0,10,1.0,2403876.382577698,261000.3258547094,1940310.1627876,2803107.62993793,139743.35438618035,31390.557506376026,289602.7363432284,79486.7087723607,7.2,nan,nan,nan,nan,nan,17.412,0.16988532028973205
3000.0,10,1.0,2306991.523806717,281049.5149001897,1775776.82330118,2732061.90909456,238338.8618283818,31545.277483652484,196745.6765817433,276677.7236567638,7.5,nan,nan,nan,nan,nan,20.856,0.17602128196737543
5000.0,10,1.0,2232720.684274829,294719.6564248515,1660786.72201529,2662803.60909322,319057.2149311168,48215.89355016822,113315.91160349386,438114.4298622339,7.9,nan,nan,nan,nan,nan,24.16,0.17958076789491964
10000.0,10,1.0,2179970.904779494,304935.49259845674,1580896.34725869,2626983.13505807,370486.2833274873,52472.34143513651,47555.56547566371,540972.5666549751,8.0,nan,nan,nan,nan,nan,31.326,0.1788934979117821
15000.0,10,1.0,2162727.560898771,308043.8297074611,1558155.11001792,2612482.89837846,388432.7159960343,53158.76807846571,28489.02766136262,576865.4319920685,8.0,nan,nan,nan,nan,nan,30.808,0.18737165964940727
