random_seed,metric,ordered_levels,direction_sequence,monotone_increasing,monotone_decreasing,nonmonotone,reversal_count,network_change_count
202,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,5
202,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,0000--,False,False,False,1,5
202,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,5
202,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,5
202,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,0-0000,False,False,False,2,5
303,total_profit,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,1
303,carbon_emission,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,1
303,total_investment_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++----,False,False,True,1,1
303,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,1
303,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,00000-,False,False,False,1,1
303,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,1
303,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,1
303,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,0-+000,False,False,True,3,1
404,total_profit,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,6
404,carbon_emission,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,6
404,total_investment_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++----,False,False,True,1,6
404,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,6
404,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,00000-,False,False,False,1,6
404,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,6
404,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,6
404,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,-0-+00,False,False,True,4,6
505,total_profit,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
505,carbon_emission,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,0
505,total_investment_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++----,False,False,True,1,0
505,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,0
505,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,0000--,False,False,False,1,0
505,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
505,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
505,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,000000,False,False,False,0,0
606,total_profit,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
606,carbon_emission,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,0
606,total_investment_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++----,False,False,True,1,0
606,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,0
606,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,0000--,False,False,False,1,0
606,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
606,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
606,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,000000,False,False,False,0,0
707,total_profit,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,6
707,carbon_emission,0.1;0.3;0.4;0.5;0.6;0.7;0.9,-+++++,False,False,True,1,6
707,total_investment_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++----,False,False,True,1,6
707,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,-+++++,False,False,True,1,6
707,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,00000-,False,False,False,1,6
707,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,6
707,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,6
707,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,-0++00,False,False,True,3,6
808,total_profit,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,1
808,carbon_emission,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,1
808,total_investment_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++----,False,False,True,1,1
808,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++++++,True,False,False,0,1
808,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,0000--,False,False,False,1,1
808,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,1
808,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,1
808,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,00000+,False,False,False,1,1
909,total_profit,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
909,carbon_emission,0.1;0.3;0.4;0.5;0.6;0.7;0.9,+++++-,False,False,True,1,0
909,total_investment_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,++----,False,False,True,1,0
909,net_carbon_trading_cost,0.1;0.3;0.4;0.5;0.6;0.7;0.9,+++++-,False,False,True,1,0
909,positive_w_count,0.1;0.3;0.4;0.5;0.6;0.7;0.9,00000-,False,False,False,1,0
909,mean_all_candidate_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,-----+,False,False,True,1,0
909,mean_open_dc_w,0.1;0.3;0.4;0.5;0.6;0.7;0.9,------,False,True,False,0,0
909,num_dc_open,0.1;0.3;0.4;0.5;0.6;0.7;0.9,000000,False,False,False,0,0
