random_seed,scenario_id,level,profit_change_absolute,profit_change_percent,emissions_change_absolute,emissions_change_percent,investment_cost_change_absolute,investment_cost_change_percent,carbon_trading_net_cost_change,open_dc_count_change,network_structure_changed,positive_w_count_change,mean_positive_w_change,mean_all_candidate_w_change,mean_open_dc_w_change,max_w_change
101,DELTA_00500_GAMMA_050,00500,432320.98471549014,18.233295588072266,-205634.0502446263,-95.09712417246229,5318.784518533008,3.3130183156720867,-411268.100489254,0.0,True,0.0,0.45102639296187663,0.45102639296187663,0.6652702136573103,0.13685239491691104
101,DELTA_01000_GAMMA_050,01000,287616.87885252014,12.130347019097336,-192847.96275718018,-89.18409494395102,80096.42888953301,49.89127403193612,-385695.925514361,-2.0,True,0.0,0.3474095796676443,0.3474095796676443,0.5618209747242007,0.13978494623655902
101,DELTA_02000_GAMMA_050,02000,88445.98067435017,3.7302415710253904,-108061.578621778,-49.973948128933785,109615.73209969702,68.27855628794397,-216123.1572435578,-2.0,True,0.0,0.027565982404692102,0.027565982404692102,0.26954335986594036,-0.044965786901270954
101,DELTA_05000_GAMMA_050,05000,-67132.29597052,-2.8313291263018034,75457.60293252798,34.89597674750117,-83918.1293513352,-52.27177348305043,150915.205865056,0.0,False,0.0,-0.2636363636363638,-0.2636363636363638,-0.1357352325094262,-0.56989247311828
101,DELTA_10000_GAMMA_050,10000,-109254.26751589961,-4.607838676132492,108485.615722555,50.17004750439398,-110536.85630236269,-68.85231545111493,216971.23144510997,0.0,False,0.0,-0.1774193548387096,-0.1774193548387096,-0.1974584555229716,-0.25219941348973596
101,DELTA_15000_GAMMA_050,15000,-126965.5608671899,-5.354818948518895,134194.180320864,62.05918044221611,-144307.0833961454,-89.88745618604477,268388.360641727,0.0,False,-2.0,-0.3094330400782014,-0.33274682306940373,-0.2597402597402597,-0.35972629521016597
202,DELTA_00500_GAMMA_050,00500,449327.64449747,19.301459288249582,-245545.80793936527,-96.43698777509793,67104.571955427,60.09231690471547,-491091.615878731,1.0,True,0.0,0.5813294232649071,0.5813294232649071,0.6850649350649349,0.20430107526881802
202,DELTA_01000_GAMMA_050,01000,279456.32585306,12.004413621888823,-231899.8204688384,-91.07758889992225,191085.874350949,171.1178923120038,-463799.640937677,0.0,False,0.0,0.47781036168132957,0.47781036168132957,0.5887445887445888,0.2033235581622681
202,DELTA_02000_GAMMA_050,02000,86321.75129196001,3.70806423476478,-106394.10245356601,-41.78579485336085,125774.033295306,112.63097054230616,-212788.20490713202,0.0,True,0.0,0.09472140762463338,0.09472140762463338,0.20835078899595016,0.11632453567937506
202,DELTA_05000_GAMMA_050,05000,-56171.72287249006,-2.412930153422398,23461.76001172702,9.214498436853454,-40706.666769321295,-36.452924865708425,46923.52002345497,0.0,False,0.0,-0.1337243401759532,-0.1337243401759532,-0.11520737327188962,-0.11045943304007799
202,DELTA_10000_GAMMA_050,10000,-93617.71258672979,-4.021471837488935,59942.67622843399,23.542210649654496,-76316.9306071719,-68.34200778879212,119885.35245686898,0.0,False,-1.0,-0.2113283371347888,-0.22737047898338225,-0.20527859237536666,-0.010752688172043001
202,DELTA_15000_GAMMA_050,15000,-111376.5213180799,-4.784324797758767,76113.79366824302,29.893342717189668,-91799.4870698584,-82.20667695125839,152227.58733648597,0.0,True,-1.0,-0.25683718909525366,-0.2683284457478007,-0.2375366568914957,-0.32160312805474095
303,DELTA_00500_GAMMA_050,00500,471584.6656886898,21.104073244052273,-202798.88474281848,-83.47965113016184,-84686.686694896,-34.50546858290627,-405597.76948563696,-1.0,True,0.0,0.31016617790811346,0.31016617790811346,0.501208319756707,0.06256109481915895
303,DELTA_01000_GAMMA_050,01000,332817.3297141199,14.894040909746943,-219775.83390480198,-90.46800215139231,119055.04993154702,48.5088087086175,-439551.66780960397,0.0,False,0.0,0.37810361681329435,0.37810361681329435,0.5066797002280875,0.08406647116324495
303,DELTA_02000_GAMMA_050,02000,88946.22066041967,3.9804677551544745,-53884.39868835101,-22.180845863953326,27099.810258448008,11.041778678205814,-107768.79737670199,0.0,False,0.0,0.06832844574780045,0.06832844574780045,0.12164657325947636,-0.1456500488758561
303,DELTA_05000_GAMMA_050,05000,-58075.61622396018,-2.598965037792409,98491.71736530898,40.54289655139564,-132220.56673310298,-53.87307957695923,196983.43473061803,0.0,False,0.0,-0.15043988269794717,-0.15043988269794717,-0.1717171717171716,0.041055718475072944
303,DELTA_10000_GAMMA_050,10000,-101426.84050516039,-4.5389929458536455,128074.506650842,52.72028565363447,-199681.6605918829,-81.36000515593472,256149.01330168307,0.0,False,0.0,-0.3612903225806451,-0.3612903225806451,-0.3022700119474312,-0.7595307917888571
303,DELTA_15000_GAMMA_050,15000,-118099.82390649011,-5.285132268226802,151455.159398246,62.344642005613196,-229833.48069638308,-93.64532085238619,302910.31879649096,0.0,False,0.0,-0.3524926686217009,-0.3524926686217009,-0.35244922341696533,-0.3528836754643211
404,DELTA_00500_GAMMA_050,00500,652923.7633594701,36.768345818686875,-231005.25255705646,-96.61193915804635,-105512.89401822898,-34.859350113485455,-462010.505114113,2.0,True,0.0,0.3644183773216031,0.3644183773216031,0.5279814271749756,0.082111436950147
404,DELTA_01000_GAMMA_050,01000,466906.73229364003,26.293097542835227,-231945.7094445493,-97.00526079289871,62280.08188804303,20.57609356498889,-463891.41888909903,1.0,True,0.0,0.31182795698924726,0.31182795698924726,0.528487641390867,0.08308895405669603
404,DELTA_02000_GAMMA_050,02000,164533.33948641992,9.265428928200079,-148471.7236662156,-62.094437138340844,132533.974370763,43.786574688435245,-296943.44733243133,0.0,False,0.0,0.03978494623655893,0.03978494623655893,0.26409253828608653,0.06353861192570898
404,DELTA_05000_GAMMA_050,05000,-114990.10128588998,-6.4754815907622145,156101.62471849602,65.28544482360013,-141643.85015931498,-46.79629546766658,312203.24943699205,2.0,True,0.0,-0.20928641251221897,-0.20928641251221897,-0.21737536656891496,-0.055718475073313956
404,DELTA_10000_GAMMA_050,10000,-194880.47604249,-10.974378845659558,208129.81679751698,87.04488307013959,-255469.83717100488,-84.40212525912345,416259.633595035,3.0,True,0.0,-0.3958944281524926,-0.3958944281524926,-0.3617356359291843,-0.638318670576735
404,DELTA_15000_GAMMA_050,15000,-217621.71328326012,-12.255014843515077,225581.715590757,94.3436858711211,-267670.60193756176,-88.43301394440778,451163.43118151504,3.0,True,0.0,-0.44525904203323563,-0.44525904203323563,-0.39258173129140883,-0.7908113391984359
505,DELTA_00500_GAMMA_050,00500,497395.43955205986,25.59260763949586,-237640.75676075488,-96.32158797155068,-4883.671753982024,-2.555577758031932,-475281.513521511,0.0,False,0.0,0.5174975562072336,0.5174975562072336,0.6365808623873139,0.15542521994134906
505,DELTA_01000_GAMMA_050,01000,318341.5969091202,16.379707044284103,-204462.7909074209,-82.8737501502112,100665.231542756,52.67713304606111,-408925.581814843,0.0,False,0.0,0.3637341153470185,0.3637341153470185,0.46214836537417175,0.14760508308895404
505,DELTA_02000_GAMMA_050,02000,89658.76765248994,4.61323421870806,-110577.75372453398,-44.819857411063104,131659.496933302,68.8961295816153,-221155.5074490683,0.0,False,0.0,0.16568914956011704,0.16568914956011704,0.24894102313457128,0.14467253176930606
