size_id,random_seed,scenario_id,outer_method,outer_solution_status,raw_solver_status,final_inner_bp_status,final_inner_bp_certified,integer_solution,termination_reason,total_profit,carbon_emission,carbon_cap,e_plus,e_minus,net_carbon_trading_cost,total_investment_cost,num_dc_open,open_dc_set,w_vector,positive_w_count,mean_positive_w,mean_all_w,max_w,min_positive_w,ga_generations,actual_bp_calls,cache_hit_rate,cg_iterations,branch_nodes,algorithm_commit,formal_tag,config_sha256,instance_fingerprint,user_time_sec,system_time_sec,wall_time_sec
10x30,606,NO_INVESTMENT,FIXED_W_BP,NOT_APPLICABLE,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2051599.76691578,434381.236238928,100000,334381.236238928,0,668762.472477856,0,7,0;1;2;3;4;7;9,0;0;0;0;0;0;0;0;0;0,0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,47,1,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,124d379f59445b38c813e32f6660fbd75c1918b0169d151abfef0ecee81fb183,14adecffa37f6d56f2d20a854fb179bf9a430fa3199702567c36cf41dd52f981,0.18,0.0,0.19
10x30,606,OPTIMIZED_INVESTMENT,GA_BP,GA_BEST_FOUND,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2276604.85944484,212417.690595389,100000,112417.690595389,0,224835.381190779,217607.775418985,7,0;1;2;3;4;7;9,0.67;0.31;0.16;0.43;0.12;0;0;0.21;0;0.41,7,0.33,0.231,0.67,0.12,29,680,0.21839080459770116,29310,241,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,c5de1c9345202172488f7ce6c97187af9bcf19237be2f85de5ef4b162ee14433,14adecffa37f6d56f2d20a854fb179bf9a430fa3199702567c36cf41dd52f981,288.91,2.85,43.98
10x30,707,NO_INVESTMENT,FIXED_W_BP,NOT_APPLICABLE,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2428959.46364357,424487.129689964,100000,324487.129689964,0,648974.259379928,0,10,0;1;2;3;4;5;6;7;8;9,0;0;0;0;0;0;0;0;0;0,0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,14,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,a498058d47680efa00dcd89240f77414053b9434b6f50278a8f6f319c57472c6,0c7c95f7598e4d01267dfb2458877094187e8c9915d8c3b5e3590d9118473ae3,0.08,0.0,0.08
10x30,707,OPTIMIZED_INVESTMENT,GA_BP,GA_BEST_FOUND,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2562933.77111338,235114.410038126,100000,135114.410038126,0,270228.820076251,215004.77255149,8,0;1;2;3;4;5;6;9,0.5;0.18;0.5;0.31;0.57;0.22;0.3;0;0;0.44,8,0.3775,0.302,0.57,0.18,24,613,0.1486111111111111,12986,8,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,9ed2e9f928b7cfc9d7fec3451956afadb27f74def5529e7ab74d923c9c5c298b,0c7c95f7598e4d01267dfb2458877094187e8c9915d8c3b5e3590d9118473ae3,130.48,1.92,19.66
10x30,808,NO_INVESTMENT,FIXED_W_BP,NOT_APPLICABLE,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2591521.87944398,327682.136651273,100000,227682.136651273,0,455364.273302546,0,6,0;1;4;5;8;9,0;0;0;0;0;0;0;0;0;0,0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,69,1,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,e6677de23a9c0f8f2e699ac9a52175242aa6d988da345ef63c620f4407204534,c2b1bba758a0011e414089d690100f0b59918149b3c21ede270b1e3416512266,0.46,0.0,0.47
10x30,808,OPTIMIZED_INVESTMENT,GA_BP,GA_BEST_FOUND,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2732061.90909456,175760.547125795,100000,75760.5471257948,0,151521.09425159,172247.597102776,5,1;4;5;8;9,0;0.23;0;0;0.54;0.55;0;0;0.29;0.19,5,0.36,0.18,0.55,0.19,16,409,0.14791666666666667,20694,45,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,788191366131e8305cac94db8c3d12d068b87db87408704fb52ba39d39c97bbb,c2b1bba758a0011e414089d690100f0b59918149b3c21ede270b1e3416512266,247.64,1.99,37.1
10x30,909,NO_INVESTMENT,FIXED_W_BP,NOT_APPLICABLE,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2125766.85608956,447984.387252778,100000,347984.387252778,0,695968.774505557,0,9,0;1;3;4;5;6;7;8;9,0;0;0;0;0;0;0;0;0;0,0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,13,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,7dcd09d0c3fa0bb6b8dce7cea6ac3c3f049ead44ca909d682a3e055407835258,f470a126a2fe075b897a315e410aecc843f44edcd70116a95f8e7a975c2cecc4,0.08,0.0,0.1
10x30,909,OPTIMIZED_INVESTMENT,GA_BP,GA_BEST_FOUND,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2342419.31620575,280010.466657766,100000,180010.466657766,0,360020.933315533,239507.554572176,9,0;1;3;4;5;6;7;8;9,0.73;0.36;0;0.36;0.32;0.35;0.31;0.22;0.26;0.42,9,0.37,0.333,0.73,0.22,23,567,0.1782608695652174,8700,31,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,c8dec65910a939b6ccdf95f358c191e77c2fd3defa7e19479c681bb8ad15a2ab,f470a126a2fe075b897a315e410aecc843f44edcd70116a95f8e7a975c2cecc4,83.09,1.78,12.6
10x30,1010,NO_INVESTMENT,FIXED_W_BP,NOT_APPLICABLE,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2367928.67152007,405909.42106839,100000,305909.42106839,0,611818.842136779,0,9,0;1;2;3;4;6;7;8;9,0;0;0;0;0;0;0;0;0;0,0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,15,0,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,e86879908d1f87d652ddd7a72b923abd90188cfd3c718079ac7bea7f40061e37,9c7e99e83d4358cbec45e12b2339955c704de32eba8a92d625382edd67ce4bea,0.12,0.0,0.13
10x30,1010,OPTIMIZED_INVESTMENT,GA_BP,GA_BEST_FOUND,OPTIMAL,OPTIMAL,true,1,normal_or_early_stop,2503040.51347255,280477.380094308,100000,180477.380094308,0,360954.760188615,111667.9176653,8,0;1;3;4;6;7;8;9,0.17;0.38;0;0.21;0.36;0;0.23;0.28;0.35;0.33,8,0.28875,0.231,0.38,0.17,25,639,0.148,12444,63,0dd725354732f9b8011e9e7e8540e0e64a3ff223,paper-exp-baseline-20260801,803027ee0adcb1123413480b22dd69ec7b1890a1abe52852c2ff90d5d929f85b,9c7e99e83d4358cbec45e12b2339955c704de32eba8a92d625382edd67ce4bea,149.35,2.13,22.5
