random_seed,scenario_id,old_vector_length,new_vector_length,old_mean_all_w,new_mean_all_candidate_w,profit_difference,emission_difference,investment_cost_difference,open_dc_set_match,instance_fingerprint_match,status,normalized_file_sha256
101,NO_INVESTMENT,8,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,edbef04bf447bf99348c6bf672c3e84f8a98fa835383b1d90a884a65442249fe
101,OPTIMIZED_INVESTMENT,8,10,0.26125,0.42600195503421306,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,99f78b63aabd86ea43de9c6b2020643a4f9b36387ffa8f909a092c6361d9aa27
202,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,3aed2009929641777cda3e9be09a608a3826a0a1c01d272a3a59ae974142a4b1
202,OPTIMIZED_INVESTMENT,10,10,0.203,0.3717497556207234,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,a78d2314efe9454e7e2a052ca9accae668ce8fb143fc3055c0df25dd9b75efec
303,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,87da00ad0fae397cc6167294e43599a5ecb0e76ee2063b77c9b75a97caaabd8f
303,OPTIMIZED_INVESTMENT,10,10,0.35200000000000004,0.44340175953079175,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,0bbdbd75e85fb80c39ab1df85167a075b70452cb0e71145042017e00e3a2e029
404,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,fec07e1f66998e266b5d44ad0ff0b16ebc38e5281d41a560c38302f4a244b22c
404,OPTIMIZED_INVESTMENT,10,10,0.275,0.5086021505376345,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,6a46600a932cc6d8e0b8fbcc8e0ec416a2c6ddadf7f5c160428a55b6559aad4b
505,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,6747e99831503d0adc79b356c30dd580ae68e2f4d0b1be72c0c4e2015ced6bd0
505,OPTIMIZED_INVESTMENT,10,10,0.2899999999999999,0.3746823069403714,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,30998729dcbf2498d02d85075ff7ac4e3f0151d865087a23ada1b48384218acf
606,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,dfdd415d9d471b80a025d1d21f9f175744860dbd633bdfad75d156abf3d3f317
606,OPTIMIZED_INVESTMENT,10,10,0.231,0.40547409579667654,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,19ae6c0515516e518ab766ee8f482a3ced98018dfd50534de3ab35ac299f0a50
707,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,b2c5315cdd65d7d34577603c7564005e60002f0db47a6efac9a5d6c37bcb48fe
707,OPTIMIZED_INVESTMENT,10,10,0.302,0.42873900293255157,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,19916b49de679fb56bf9f0d6548b1e86a6220ea52796fc236ffbbf47cace733b
808,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,c912fb30a8e24b509189958565fe843c348cc179bdf85b5589860e182f31ff27
808,OPTIMIZED_INVESTMENT,10,10,0.18,0.42785923753665694,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,e4ecc5921a4b16a8196e20be8c76f788e9c64aaaf314f0053e55bf707b0c64d0
909,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,91001793354ce8524083b2346fbcf0988e52733e31222c5dbfdadce6c0ddc865
909,OPTIMIZED_INVESTMENT,10,10,0.333,0.33548387096774196,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,4711266a7ccad268c40921dba07c8c104cc7f1150c1c55398f41b14a0eed47c4
1010,NO_INVESTMENT,10,10,0.0,0.0,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,a339079973a9e978a4b5bb89f25d9d263ccd96161e053394217fb96ff66b12d3
1010,OPTIMIZED_INVESTMENT,10,10,0.231,0.3451612903225806,0.0,0.0,0.0,True,True,DERIVED_NORMALIZATION_ONLY,d78ae6c66b2716456572ace46163863da4f5cfe151e14ecae6c23fe17a7189ac
