Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2311864.817638,2250824.108493,2181131.647986,13.928851
1,2311864.817638,2260878.756608,2204256.938743,13.928851
2,2311864.817638,2275999.986248,2226207.051956,13.928852
3,2311864.817638,2285669.189512,2246153.734944,13.928852
4,2316153.688373,2286819.336823,2209909.389959,13.928852
5,2316153.688373,2288520.596419,2243320.600442,13.928852
6,2326540.023062,2299419.627734,2264802.462053,13.928852
7,2327236.384265,2307407.651686,2275700.179690,13.928852
8,2327236.384265,2311490.785255,2256505.210829,13.928852
9,2327236.384265,2313687.742663,2292160.459655,13.928852
10,2327253.657878,2316638.256529,2285825.566324,13.928852
11,2327253.657878,2317356.446922,2283158.803948,13.928852
12,2327456.262458,2317588.194576,2293039.529957,13.928852
13,2327456.262458,2319834.094015,2285174.191548,13.928852
14,2327946.492476,2321932.881480,2297969.451133,13.928853
15,2327946.492476,2324125.374367,2306236.046072,13.928853
16,2327946.492476,2323526.327682,2292636.686911,13.928853
