scenario_id,multiplier,quota_value,unit,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_E0
C080,0.8,11554.274308835113,tCO2e/year,660,3.8040093053711064,8499.67730037096,5279.361576367561,14442.842886043889
C090,0.9,12998.5585974395,tCO2e/year,660,3.8040093053711064,8499.67730037096,5279.361576367561,14442.842886043889
C100,1,14442.842886043889,tCO2e/year,660,3.8040093053711064,8499.67730037096,5279.361576367561,14442.842886043889
C110,1.1,15887.12717464828,tCO2e/year,660,3.8040093053711064,8499.67730037096,5279.361576367561,14442.842886043889
C120,1.2,17331.411463252665,tCO2e/year,660,3.8040093053711064,8499.67730037096,5279.361576367561,14442.842886043889
