distance_km,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_emission
0,658.7096774193549,3.9529208497038666,10102.845958052041,4390.638574728696,15156.147131049796
5,658.3548387096774,3.951498303621553,10099.468680214946,4508.530460719432,15270.305477947677
10,658.6666666666666,3.7955942623881023,8482.853365844063,5262.090518150537,14407.406144923654
15,658.5483870967741,3.795570516334735,8478.586274828021,5379.558068853527,14520.488301294658
20,658.9677419354839,3.797665284181319,8486.181233468064,5491.113042981019,14640.059683668747
