distance_km,canonical_seed,reported_total_profit,open_dc_ids,num_served_markets,served_market_ids,total_emission,investment_cost,carbon_trading_cost,outer_status,final_inner_bp_status,best_w
0,1010,175883843.03457496,C02;C03;C04;C05;C07;C08,13,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,15141.956279592952,51.990712000522365,1398.2267870981268,HEURISTIC_BEST_FOUND,OPTIMAL,0;0;0.0019550342130987292;0.0078201368523949169;0;0.10166177908113393;0;0.0039100684261974585
5,202,175219933.25124127,C02;C03;C04;C05;C07;C08,13,M09;M11;M13;M14;C03;C04;C05;M10;M12;C02;C07;C08;M15,15248.615625165561,71.805354507021519,1611.5454782433444,HEURISTIC_BEST_FOUND,OPTIMAL,0;0;0.0058651026392961877;0.0078201368523949169;0.00097751710654936461;0.2013685239491691;0.0039100684261974585;0
10,808,174587367.49738404,C02;C03;C04;C05;C07;C08,12,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,14388.67500258019,60.523957704203262,-108.33576692739734,HEURISTIC_BEST_FOUND,OPTIMAL,0.87683284457478006;0.0078201368523949169;0.0039100684261974585;0.0019550342130987292;0;0.070381231671554259;0;0
15,707,173966687.3517105,C02;C03;C04;C05;C07;C08,12,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,14497.51147992316,66.14667656158673,109.3371877585414,HEURISTIC_BEST_FOUND,OPTIMAL,0;0.0039100684261974585;0.0039100684261974585;0;0.0078201368523949169;0.85239491691104596;0;0.0078201368523949169
20,808,173346010.15110466,C02;C03;C04;C05;C07;C08,12,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,14610.498142257611,60.523957704203262,335.31051242744434,HEURISTIC_BEST_FOUND,OPTIMAL,0.032258064516129031;0.0078201368523949169;0.0039100684261974585;0.0019550342130987292;0;0.070381231671554259;0;0
