Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.73967e+08,1.73073e+08,1.72094e+08,0.0704557
1,1.73967e+08,1.7322e+08,1.72548e+08,0.118165
2,1.73967e+08,1.73373e+08,1.72491e+08,0.182237
3,1.73967e+08,1.73581e+08,1.73056e+08,0.236803
4,1.73967e+08,1.73639e+08,1.73311e+08,0.282188
5,1.73967e+08,1.73727e+08,1.73462e+08,0.338155
6,1.73967e+08,1.73767e+08,1.73327e+08,0.391803
7,1.73967e+08,1.73801e+08,1.73525e+08,0.445051
8,1.73967e+08,1.73815e+08,1.73556e+08,0.507097
9,1.73967e+08,1.73842e+08,1.7355e+08,0.546983
10,1.73967e+08,1.73862e+08,1.73559e+08,0.587229
