Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.75884e+08,1.74931e+08,1.74012e+08,0.0834938
1,1.75884e+08,1.75149e+08,1.74169e+08,0.148209
2,1.75884e+08,1.75443e+08,1.74464e+08,0.202306
3,1.75884e+08,1.75568e+08,1.74562e+08,0.256833
4,1.75884e+08,1.75706e+08,1.75165e+08,0.309354
5,1.75884e+08,1.75783e+08,1.75504e+08,0.373328
6,1.75884e+08,1.75803e+08,1.75503e+08,0.42157
7,1.75884e+08,1.75833e+08,1.75558e+08,0.466529
8,1.75884e+08,1.7584e+08,1.75656e+08,0.518934
9,1.75884e+08,1.75847e+08,1.75688e+08,0.574033
10,1.75884e+08,1.75856e+08,1.75728e+08,0.631491
