Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.73967e+08,1.73008e+08,1.72106e+08,0.0749647
1,1.73967e+08,1.73269e+08,1.72308e+08,0.126494
2,1.73967e+08,1.73551e+08,1.72877e+08,0.17959
3,1.73967e+08,1.73724e+08,1.73066e+08,0.237031
4,1.73967e+08,1.73876e+08,1.73407e+08,0.291255
5,1.73967e+08,1.73892e+08,1.73561e+08,0.34301
6,1.73967e+08,1.73894e+08,1.73586e+08,0.401715
7,1.73967e+08,1.73896e+08,1.73621e+08,0.451997
8,1.73967e+08,1.73916e+08,1.73767e+08,0.495898
9,1.73967e+08,1.7393e+08,1.73748e+08,0.567517
10,1.73967e+08,1.73922e+08,1.73644e+08,0.632095
