arc_type,origin_id,destination_id,is_intracity,physical_distance_km,transport_rate_cny_per_tonne_km,transport_cost_coefficient_cny_per_tonne,transport_emission_factor_tco2e_per_tonne_km,transport_emission_coefficient_tco2e_per_tonne,solver_cost_field,solver_emission_field,mapping_status
dc_market,C02,M11,False,149.428,0.39,58.276920000000004,6.996e-05,0.01045398288,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M12,False,326.862,0.39,127.47618000000001,6.996e-05,0.022867265520000003,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M13,False,200.417,0.39,78.16263000000001,6.996e-05,0.01402117332,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M14,False,101.608,0.39,39.627120000000005,6.996e-05,0.00710849568,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C02,M15,False,401.741,0.39,156.67899,6.996e-05,0.02810580036,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C01,False,94.432,0.39,36.82848,6.996e-05,0.00660646272,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C02,False,214.664,0.39,83.71896,6.996e-05,0.01501789344,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C03,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C04,False,42.166,0.39,16.44474,6.996e-05,0.00294993336,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C05,False,143.586,0.39,55.998540000000006,6.996e-05,0.010045276560000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C06,False,215.624,0.39,84.09336,6.996e-05,0.01508505504,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C07,False,381.911,0.39,148.94529,6.996e-05,0.02671849356,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,C08,False,73.437,0.39,28.64043,6.996e-05,0.00513765252,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,M09,False,92.411,0.39,36.04029,6.996e-05,0.00646507356,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,M10,False,104.401,0.39,40.71639,6.996e-05,0.00730389396,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,M11,False,158.713,0.39,61.89807,6.996e-05,0.01110356148,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,M12,False,158.734,0.39,61.90626,6.996e-05,0.011105030640000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,M13,False,92.517,0.39,36.08163,6.996e-05,0.00647248932,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,M14,False,256.376,0.39,99.98664,6.996e-05,0.017936064959999998,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C03,M15,False,295.525,0.39,115.25475,6.996e-05,0.020674928999999998,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C01,False,130.468,0.39,50.88252,6.996e-05,0.00912754128,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C02,False,185.449,0.39,72.32511000000001,6.996e-05,0.012974012040000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C03,False,41.136,0.39,16.04304,6.996e-05,0.0028778745600000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C04,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C05,False,183.192,0.39,71.44488000000001,6.996e-05,0.012816112320000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C06,False,255.229,0.39,99.53931000000001,6.996e-05,0.01785582084,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C07,False,343.537,0.39,133.97943,6.996e-05,0.024033848519999998,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,C08,False,117.359,0.39,45.77001,6.996e-05,0.00821043564,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,M09,False,58.053,0.39,22.64067,6.996e-05,0.00406138788,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,M10,False,119.154,0.39,46.470060000000004,6.996e-05,0.00833601384,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,M11,False,129.462,0.39,50.490179999999995,6.996e-05,0.009057161519999999,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,M12,False,198.339,0.39,77.35221,6.996e-05,0.01387579644,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,M13,False,121.865,0.39,47.52735,6.996e-05,0.0085256754,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,M14,False,224.651,0.39,87.61389000000001,6.996e-05,0.015716583960000002,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C04,M15,False,335.131,0.39,130.70109,6.996e-05,0.023445764759999998,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,C01,False,174.415,0.39,68.02185,6.996e-05,0.0122020734,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,C02,False,272.101,0.39,106.11939000000001,6.996e-05,0.01903618596,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,C03,False,143.821,0.39,56.09019,6.996e-05,0.01006171716,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,C04,False,184.082,0.39,71.79198,6.996e-05,0.01287837672,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C05,C05,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
