Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,1.7522e+08,1.74302e+08,1.73281e+08,0.0743547
1,1.7522e+08,1.74393e+08,1.73846e+08,0.13722
2,1.7522e+08,1.74696e+08,1.73947e+08,0.202171
3,1.7522e+08,1.74852e+08,1.74188e+08,0.254107
4,1.7522e+08,1.74971e+08,1.74264e+08,0.2965
5,1.7522e+08,1.74977e+08,1.74715e+08,0.353797
6,1.7522e+08,1.75048e+08,1.74715e+08,0.404317
7,1.7522e+08,1.75102e+08,1.74921e+08,0.462544
8,1.7522e+08,1.75158e+08,1.7495e+08,0.52078
9,1.7522e+08,1.75172e+08,1.75037e+08,0.574216
10,1.7522e+08,1.7518e+08,1.75113e+08,0.628347
