Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2591521.879444,2337013.749296,1995161.723003,57.588934
1,2591521.879444,2427824.558732,2146479.034751,57.588934
2,2591521.879444,2475993.516868,2328779.539698,57.588934
3,2592274.205693,2517536.811175,2406193.041698,57.588934
4,2595803.974807,2528717.372957,2341581.411243,57.588934
5,2608723.509950,2556664.187618,2411912.548513,57.588934
6,2615325.582442,2558544.578009,2307844.164495,57.588934
7,2615325.582442,2573668.995849,2459582.201586,57.588934
8,2615325.582442,2581223.188272,2540711.579688,57.588934
9,2620663.094674,2581754.657146,2446377.467772,57.588934
10,2620663.094674,2591524.060039,2557427.636896,57.588934
11,2624722.465343,2599212.877248,2573479.537518,57.588934
12,2624722.465343,2603166.454398,2567750.780074,57.588934
13,2624807.560028,2600680.819315,2480601.137716,57.588934
14,2625669.964967,2599499.025201,2382913.668087,57.588935
15,2625669.964967,2606290.285468,2556916.970955,57.588935
16,2625821.194348,2610227.123624,2477289.304189,57.588935
17,2626983.135058,2616888.752749,2566188.055823,57.588943
18,2626983.135058,2616762.718971,2569815.368381,57.588943
19,2626983.135058,2617848.627247,2588373.149665,57.588943
20,2626983.135058,2615122.306689,2576416.966832,57.588943
21,2626983.135058,2618922.739595,2600166.606154,57.588943
