Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2557789.158562,2483906.363267,2201520.268845,28.990620
1,2584645.406702,2504267.551197,2407386.079004,28.990621
2,2585696.040250,2524358.543294,2456413.405893,28.990621
3,2585696.040250,2541617.803235,2476711.395678,28.990621
4,2591047.243470,2550272.681105,2513935.715957,28.990621
5,2594747.393208,2558268.792292,2513395.743755,28.990621
6,2596932.659250,2569201.913140,2524378.498367,28.990621
7,2597204.228959,2583974.810235,2546626.965987,28.990621
8,2597204.228959,2582706.540628,2524180.839282,28.990621
9,2599715.784313,2583651.668937,2520493.715216,28.990622
10,2599715.784313,2589349.345958,2548132.590126,28.990622
11,2599715.784313,2592026.533287,2563128.545770,28.990622
12,2603030.957537,2591058.364920,2567783.563661,28.990622
13,2603030.957537,2594199.293420,2565679.642799,28.990622
14,2603422.988325,2597781.089312,2585864.444013,28.990622
15,2603451.581769,2599292.389632,2582414.620358,28.990622
16,2603542.466116,2599625.609880,2588847.820645,28.990622
17,2603542.466116,2598173.846504,2546594.624365,28.990623
18,2603580.935494,2598515.849961,2558210.313347,28.990623
19,2604086.949654,2600379.234214,2585230.463884,28.990623
20,2604086.949654,2600165.733215,2588052.623702,28.990623
21,2607132.689459,2600698.707095,2588434.315152,28.990623
22,2607132.689459,2600358.021221,2551623.995274,28.990623
23,2607132.689459,2599112.816121,2545799.669022,28.990623
24,2607132.689459,2600312.149192,2591100.786507,28.990623
25,2607132.689459,2600456.447588,2579657.476862,28.990623
26,2607132.689459,2600859.752063,2578599.610543,28.990623
27,2607132.689459,2598210.039487,2554123.743674,28.990623
28,2607132.689459,2599846.101755,2581469.269643,28.990623
29,2607132.689459,2598279.560615,2550704.617628,28.990623
30,2607132.689459,2596643.752951,2542447.972413,28.990623
31,2607402.818329,2601455.092020,2590384.042568,28.990623
