Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2106595.603282,1965716.316115,1820578.024161,19.936185
1,2106595.603282,2023793.764841,1873925.487802,19.936185
2,2109900.624705,2047405.726902,1940815.256878,19.936185
3,2109900.624705,2060331.774016,1916907.713392,19.936186
4,2131629.726231,2072115.383828,2021804.398488,19.936186
5,2131629.726231,2084809.804949,1953202.876237,19.936186
6,2140976.110655,2106868.044637,2018713.633618,19.936186
7,2164555.953254,2115345.411878,2051041.165908,19.936186
8,2164555.953254,2123928.642716,2087113.380992,19.936186
9,2166211.728356,2131054.388725,2052580.990970,19.936186
10,2166950.776549,2130525.005647,2028979.975043,19.936186
11,2166950.776549,2133042.962245,2094331.121192,19.936186
12,2166950.776549,2137665.895179,2088739.891377,19.936186
13,2166950.776549,2138637.489922,2088124.119306,19.936186
14,2169462.197503,2143439.600487,2092951.980843,19.936186
15,2169690.035978,2149765.440247,2081684.573630,19.936186
16,2169848.640613,2150339.809738,2074907.064834,19.936186
17,2170440.990051,2147842.167290,2048588.389433,19.936194
18,2170440.990051,2149277.856031,2085727.038119,19.936194
19,2170440.990051,2153021.560087,2110136.621153,19.936194
20,2170568.116508,2155832.471147,2097842.840438,19.936194
21,2170568.116508,2156387.808438,2115664.822868,19.936194
22,2173342.883842,2157277.031991,2117366.396255,19.936194
23,2175868.973101,2155948.873547,2058726.276058,19.936194
24,2176053.535858,2153936.708068,2033246.294241,19.936194
25,2176053.535858,2151562.492118,1998249.976003,19.936194
26,2176053.535858,2152385.269635,2089932.896480,19.936194
27,2176330.861623,2157130.486189,2116872.941856,19.936194
28,2176330.861623,2158985.211373,2115221.953272,19.936194
29,2176491.427944,2153508.971406,2040868.065613,19.936194
30,2176491.427944,2154207.296536,2110161.306902,19.936195
31,2176491.427944,2165418.241848,2133230.898250,19.936195
32,2176491.427944,2165947.287272,2137796.663302,19.936195
33,2176491.427944,2166624.323858,2128429.255314,19.936195
