component,value
facility_emission_tco2e_per_year,660
inventory_emission_tco2e_per_year,3.8040093053711064
supplier_dc_transport_emission_tco2e_per_year,8499.6773003709604
dc_market_transport_emission_tco2e_per_year,5279.3615763675607
total_emission_E0_tco2e_per_year,14442.842886043889
independent_sum,14442.842886043893
absolute_error,3.637978807091713e-12
tolerance,1.444284288604389e-06
