num_dc,num_retailers,random_seed,fixed_w,complete_column_count,column_enumeration_time_sec,full_master_build_time_sec,cplex_optimization_time_sec,reference_validation_time_sec,reference_total_wall_time_sec,reference_peak_rss_kb,bp_initialization_time_sec,bp_solve_time_sec,bp_validation_time_sec,bp_total_wall_time_sec,bp_peak_rss_kb,bp_initial_columns,bp_generated_columns,bp_final_master_columns,cplex_status,cplex_objective,cplex_gap,bp_status,bp_objective,bp_gap,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
3,10,101,0.0,6108,0.021014953999999999,0.0049223490000000003,0.013227169,9.1100000000000004e-07,0.039611975000000001,23524,0.000104604,0.0017922610000000001,4.0600000000000001e-07,0.0018972710000000003,23524,UNKNOWN,18,UNKNOWN,OPTIMAL,390548.32979060709,0,OPTIMAL_CERTIFIED,390548.32979060709,0,0,0,true,true,6,0,1,0,0,true,3x10
3,10,202,0.0,6108,0.017793343999999999,0.029238311999999999,0.03727892,2.058e-06,0.084782921999999997,23604,0.00015229100000000001,0.0018254149999999999,5.2499999999999995e-07,0.001978231,23604,UNKNOWN,22,UNKNOWN,OPTIMAL,320814.29697384901,0,OPTIMAL_CERTIFIED,320814.29697384901,0,0,0,true,true,5,0,1,0,0,true,3x10
3,10,303,0.0,6108,0.0081192050000000009,0.0039111679999999996,0.011865896000000001,1.0839999999999999e-06,0.024302160999999999,23644,0.00010925900000000001,0.00161937,4.8400000000000005e-07,0.001729113,23644,UNKNOWN,21,UNKNOWN,OPTIMAL,348511.25749501033,0,OPTIMAL_CERTIFIED,348511.25749501033,0,0,0,true,true,5,0,1,0,0,true,3x10
3,10,404,0.0,6108,0.019024391000000002,0.024947203000000001,0.013823076,1.4050000000000001e-06,0.058337905000000002,22976,0.00017389799999999999,0.001334532,7.3799999999999996e-07,0.001509168,22976,UNKNOWN,6,UNKNOWN,OPTIMAL,268275.96565242269,0,OPTIMAL_CERTIFIED,268275.96565242269,0,0,0,true,true,3,0,1,0,0,true,3x10
3,10,505,0.0,6108,0.020474335999999999,0.0078596210000000007,0.011617687999999999,1.403e-06,0.040612642999999997,23576,0.000168295,0.0010475930000000001,6.6300000000000005e-07,0.001216551,23576,UNKNOWN,4,UNKNOWN,OPTIMAL,125308.68948274091,0,OPTIMAL_CERTIFIED,125308.68948274091,0,0,0,true,true,2,0,1,0,0,true,3x10
3,10,606,0.0,6108,0.022066738999999998,0.0058908399999999996,0.058249918999999997,1.2550000000000001e-06,0.086705541000000011,24168,0.000133578,0.003201223,4.5400000000000002e-07,0.0033352550000000001,24168,UNKNOWN,33,UNKNOWN,OPTIMAL,575992.37211698748,0,OPTIMAL_CERTIFIED,575992.37211698748,0,0,0,true,true,7,0,1,0,0,true,3x10
3,10,707,0.0,6108,0.020437654,0.0044439309999999999,0.040071733999999998,1.1459999999999999e-06,0.065517614999999987,23884,0.00013188100000000001,0.003668185,4.6100000000000001e-07,0.0038005270000000002,23884,UNKNOWN,38,UNKNOWN,OPTIMAL,585987.19951055991,0,OPTIMAL_CERTIFIED,585987.19951055991,0,0,0,true,true,10,0,1,0,0,true,3x10
3,10,808,0.0,6108,0.010562171,0.0033821010000000002,0.028704377999999999,1.826e-06,0.043234508000000005,23760,0.00016762100000000001,0.0077591719999999999,6.2600000000000002e-07,0.0079274189999999998,23760,UNKNOWN,42,UNKNOWN,OPTIMAL,449908.31970241654,0,OPTIMAL_CERTIFIED,449908.31970241654,0,0,0,true,true,10,0,1,0,0,true,3x10
3,10,909,0.0,6108,0.019917702999999998,0.0044831910000000001,0.011929492,8.4e-07,0.036667234999999999,23488,0.00010487700000000001,0.001155536,4.2399999999999999e-07,0.0012608369999999999,23488,UNKNOWN,12,UNKNOWN,OPTIMAL,247811.8685253443,0,OPTIMAL_CERTIFIED,247811.8685253443,0,0,0,true,true,4,0,1,0,0,true,3x10
3,10,1010,0.0,6108,0.011879818,0.023625565000000001,0.026647489999999999,1.0079999999999999e-06,0.062584649999999992,23644,0.000117224,0.0019019449999999999,5.3900000000000005e-07,0.0020197079999999998,23644,UNKNOWN,21,UNKNOWN,OPTIMAL,281445.83649636991,0,OPTIMAL_CERTIFIED,281445.83649636991,0,0,0,true,true,5,0,1,0,0,true,3x10
