Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2641006.886351,2523264.326314,2125766.856090,18.530102
1,2654256.542806,2554630.019396,2372580.234341,18.530102
2,2663246.062250,2607960.204172,2499896.561477,18.530103
3,2664193.460155,2619438.793703,2523660.946188,18.530103
4,2672910.656859,2634626.205769,2576197.405439,18.530103
5,2676512.143766,2649135.862007,2620997.352383,18.530103
6,2694769.298202,2649071.996137,2582183.231290,18.530103
7,2696830.566047,2649524.533793,2545801.583681,18.530103
8,2705559.858996,2650985.819794,2561281.887858,18.530103
9,2705559.858996,2672359.684186,2632125.880352,18.530103
10,2713095.723749,2677072.047564,2635998.538299,18.530103
11,2717199.704391,2683213.430602,2639678.615735,18.530103
12,2717199.704391,2683804.120634,2626060.179997,18.530103
13,2717199.704391,2685681.136732,2630339.562091,18.530104
14,2717199.704391,2686236.543996,2552752.048614,18.530104
15,2717199.704391,2690301.011081,2653758.653193,18.530104
16,2720270.888054,2699304.597499,2670492.693041,18.530104
17,2720270.888054,2704519.250484,2682129.309942,18.530112
18,2720270.888054,2709491.162795,2683940.115671,18.530112
19,2720298.565622,2710260.040411,2676517.175986,18.530112
20,2721053.207522,2708449.957798,2654675.719570,18.530112
21,2721053.207522,2713396.084337,2687910.476849,18.530112
22,2721260.986455,2715037.227729,2688803.349235,18.530112
23,2721260.986455,2714721.500589,2680628.035190,18.530112
24,2721260.986455,2714025.690508,2692302.258026,18.530112
25,2721260.986455,2713293.228950,2669881.087177,18.530112
26,2722311.165301,2711700.935778,2621960.346798,18.530112
