Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2528230.414840,2469349.521480,2371377.012952,19.657309
1,2542981.224560,2483284.110014,2405586.387010,19.657309
2,2542981.224560,2492295.456788,2436844.212186,19.657309
3,2545237.609961,2506224.736662,2454159.838202,19.657309
4,2546680.147090,2511296.701603,2422915.990368,19.657309
5,2548699.755065,2521034.707964,2441889.526726,19.657309
6,2552191.487122,2528881.566870,2475825.476051,19.657309
7,2552739.582153,2540297.068691,2486614.867545,19.657309
8,2552739.582153,2543457.230866,2516241.539807,19.657309
9,2553526.385314,2545111.049115,2508362.867595,19.657309
10,2555627.361069,2542381.666739,2504284.580345,19.657309
11,2556071.249509,2543604.874150,2520480.214789,19.657309
12,2556071.249509,2547368.852142,2524100.846388,19.657309
13,2560960.903513,2549052.224284,2533224.383674,19.657309
14,2560960.903513,2549660.525543,2515946.842735,19.657309
15,2560960.903513,2547671.495380,2517964.907721,19.657309
16,2560960.903513,2547643.942670,2515259.625306,19.657309
17,2561734.073489,2546217.757396,2508527.785624,19.657314
18,2561734.073489,2546152.142379,2507779.204160,19.657314
19,2561734.073489,2549561.983274,2495058.237925,19.657314
20,2562801.029576,2547600.212668,2490219.460318,19.657314
21,2562933.771113,2547149.399578,2502250.187631,19.657314
22,2562933.771113,2548263.122893,2494867.331303,19.657314
23,2562933.771113,2549422.217358,2538043.372060,19.657314
