Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,2402448.893333,2356514.745769,2201520.268845,17.177034
1,2402448.893333,2370127.179423,2323262.871230,17.177035
2,2402448.893333,2376567.118309,2349768.146366,17.177035
3,2402896.572583,2383865.855155,2356162.872425,17.177035
4,2407041.279346,2391088.165734,2364929.677173,17.177035
5,2407041.279346,2392941.743337,2378079.857951,17.177035
6,2407435.224980,2396847.014502,2379825.457238,17.177035
7,2408098.920785,2398020.523129,2379822.789875,17.177035
8,2408098.920785,2398156.587497,2349271.064097,17.177035
9,2408141.175379,2396419.713689,2366806.987780,17.177035
10,2411315.247520,2400614.520314,2366918.287647,17.177035
11,2411881.212530,2403672.122224,2386377.243803,17.177035
12,2411881.212530,2402566.705344,2382408.854697,17.177035
13,2413630.115197,2406114.652770,2391286.799151,17.177035
14,2413688.893321,2407578.448736,2395600.097276,17.177035
15,2413726.963459,2408268.981900,2395598.713716,17.177035
16,2414121.316543,2408717.337865,2394575.414918,17.177035
17,2414121.316543,2407546.148799,2375687.360057,17.177044
18,2414121.316543,2407505.497337,2379588.167034,17.177044
19,2414178.864492,2408392.396649,2397125.522981,17.177044
20,2414268.243768,2410925.431328,2400232.928572,17.177044
